ranking,company,first_name,last_name,address,city,state,zip,neighborhood,phone,website,email,short_description,description,sic,sic_description,naics,naics_description,employees,revenue,tags,notes,username
,Otonomy Inc,,,6275 Nancy Ridge Dr # 100,San Diego,CA,92121,Sorrento Valley,(858) 242-5200,Otonomy.Com,,,,283498,Pharmaceutical Preparation (Mfrs),325412,Pharmaceutical Preparation Manufacturing,0,$0 ,,,
,LA Jolla Pharmaceutical Co,,,10182 Telesis Ct # 600,San Diego,CA,92121,Sorrento Valley,(858) 207-4264,Lajollapharmaceutical.Com,,,"La Jolla Pharmaceutical Company is a biotechnology company engaged in the development of therapeutics for antibody-mediated autoimmune diseases afflicting several million people in the United States and Europe. The company is developing riquent for the treatment of patients with lupus kidney disease, a leading cause of sickness and death in lupus patients. The company is also developing small molecules to treat various other autoimmune and inflammatory conditions. The company's common stock is traded on the Nasdaq Stock Market under the symbol LJPC. La Jolla Pharmaceutical Company is headquartered in San Diego.",873108,Pharmaceutical Research Laboratories,541715,Research & Devmnt-Physical Engineering Life Sci,0,$0 ,,,
,Sorrento Therapeutics Inc,,,9380 Judicial Dr,San Diego,CA,92121,University City,(858) 210-3700,Sorrentotherapeutics.Com,,,,873108,Pharmaceutical Research Laboratories,541715,Research & Devmnt-Physical Engineering Life Sci,0,$0 ,,,
,Realty Income Corp,,,11995 El Camino Real # 101,San Diego,CA,92130,Carmel Valley,(858) 284-5000,Realtyincome.Com,,,"Realty Income is an equity real estate investment trust headquartered in Escondido, Calif. The company specializes in acquiring freestanding, single-tenant properties leased to retail chains under long-term net-lease agreements. Its individual properties generate rental income, taxes, maintenance and insurance revenue. As a real estate investment trust, Realty Income does not have to pay federal or state taxes on its income. The company employs a staff of more than 60 professionals with expertise in real estate acquisitions, lease execution, law, retail research, asset management and the capital markets. Its acquisition and investment focus is primarily on purchasing the properties of middle and upper market retailers who provide goods and services that consumers use daily. Retail Income conducts business with chains, such as Taco Bell, Pier 1 Imports, Staples, Office Max, Children's World day care, Jiffy Lube and Hollywood Video. The company was formed in 1969.",679801,Real Estate Investment Trusts,525990,Other Financial Vehicles,0,$0 ,,,
,San Diego City College,,,1313 Park Blvd,San Diego,CA,92101,East Village,(619) 388-3400,Sdcity.Edu,,,,822101,Schools-Universities & Colleges Academic,611310,"Colleges, Universities & Professional Schools",0,$0 ,,,
,Natural Alternatives Intl Inc,,,1535 Faraday Ave,Carlsbad,CA,92008,,(760) 736-7700,Nai-Online.Com,,,"Natural Alternatives International is a leading formulator and manufacturer of customized nutritional supplements. The company combines clinical research, science-based formulation, advanced quality assurance testing methodologies, superior manufacturing and packaging capabilities and broad marketing experience to create nutritional products that are formulated to address specific health needs. The company's private-label contract manufacturing customers include companies that market nutritional supplements through direct sales marketing channels, direct response television and retail stores. Established in 1980, NAI provides comprehensive solutions that include custom formulations based on scientific research, the highest manufacturing standards, supervision of international regulatory compliance and marketing support. The company strives to develop tailored solutions for clients' nutritional product needs. With manufacturing facilities in San Marcos, Calif., and Lugano, Switzerland, along with a sales presence in Yokohama, Japan, NAI is able to fulfill the needs of its customers throughout the world.",283403,Vitamin Products-Manufacturers,325412,Pharmaceutical Preparation Manufacturing,0,$0 ,,,
,Mad Catz Interactive Inc,,,10680 Treena St # 500,San Diego,CA,92131,Scripps Ranch,(858) 790-5008,Madcatz.Com,,,"Mad Catz, established in 1989, is a leading worldwide manufacturer, distributor and marketer of peripherals for the interactive entertainment industry. The company produces aftermarket peripherals and accessories for the Nintendo Game Boy Color and Game Boy Advance, Nintendo 64, Sony PlayStation and PlayStation 2, Sega Dreamcast and the Xbox. Products include ancillary items, such as heavy-duty extension cables, high-quality television connectors and high-capacity memory cards and pioneering technologies, such as the MC2 Next Generation Racing Wheel, Dream Pad, Dream Blaster, Dual Force Analog Controller, Panther XL and the Dual Force Hand-Held Racing Wheel. The company also holds official licensing agreements with a number of game console manufacturers, including Sony and Microsoft. Mad Catz is headquartered in San Diego, Calif.",573112,Video Games,443142,Electronic Stores,1,$0 ,,,
,Bazaar Del Mundo,,,4135 Taylor St,San Diego,CA,92110,Old Town,(619) 296-3161,Bazaardelmundo.Com,,,"Bazaar del Mundo is a retailer of gifts, jewelry, apparel and home d cor accessories. It provides a range of shopping services in California. The store offers hats, skirts, peasant-style blouses, embroidered and woven shawls, and beaded and embellished bags. Bazaar del Mundo provides kitchen draperies, hand-carved wooden utensils, stone mortar and pestles for grinding whole grains, colorful bowls, ceramic roosters, iron candleholders and vases. It provides Native American jewelry and graphics and crafts by international and local artists. The store features a Libros bookstore that offers children's books, ethnic cookbooks and fiction, textiles, travel, architecture, and home and garden design literature. Bazaar del Mundo additionally offers the sampling of gifts and collectibles from around the world, including Russia, Poland, China, Japan, India, Thailand and Europe. It provides banquet and careering services.",872102,Accounting & Bookkeeping General Svc,541219,Other Accounting Services,2,$0 ,,,
,First Nations Capital Partners,,,7676 Hazard Center Dr # 5,San Diego,CA,92108,Mission Valley East,Not Available,Firstnationscapitalpartners.Com,,,,679998,Venture Capital Companies,523910,Miscellaneous Intermediation,2,$0 ,,,
,Anthony Robbins Co,,,6160 Cornerstone Ct E # 200,San Diego,CA,92121,Sorrento Valley,(858) 535-9900,Tonyrobbins.Com,,,"Anthony Robbins Companies is a group of firms located in San Diego. The group operates 11 different companies that offer a variety of services to their respective clients. Its companies include Robbins Research International, Anthony Robbins Holdings, Tony Robbins Productions, Namale Fiji, Anthony Robbins & Associates, IdeaSphere, Twinlab Corporation and Rebus Publishing. Robbins Research International, offers human development training solutions, and Tony Robbins Productions is a product and infomercial production company offering audio programs worldwide. Anthony Robbins Holdings includes business and financial advisory team for the group companies, and Namale Fiji provides a luxury resort for more than 25 guests. Anthony Robbins & Associates offers training to sales and marketing professionals in small businesses and corporations. IdeaSphere provides a range of health and wellness products, content and services. Twinlab Corporation manufactures and markets nutritional supplements, and Rebus Publishing is a consumer health and science publisher.",874201,Business Management Consultants,541614,"Process, Physical Distr/Logistics Consulting Svcs",3,$0 ,,,
,Youngevity International Inc,,,2400 Boswell Rd,Chula Vista,CA,91914,Eastlake Business Park,(619) 934-3980,Ygyi.Com,,,,209910,Health Food Products-Manufacturers,311999,All Other Miscellaneous Food Manufacturing,3,$0 ,,,
,Heritage Global Inc,,,12625 High Bluff Dr # 305,San Diego,CA,92130,Carmel Valley,(858) 847-0656,C-2technologies.Com,,,,729953,Bankruptcy Service,541199,All Other Legal Services,5,$0 ,,,
,Obalon Therapeutics Inc,,,5421 Avenida Encinas # F,Carlsbad,CA,92008,,(760) 795-6558,Obalon.Com,,,,504704,Physicians & Surgeons Equip & Supls-Whls,423450,"Medical, Dental/Hospital Equip/Supls Mrchnt Whlsrs",5,$0 ,,,
,Armed Forces Bank Of Ca Na,,,2260 Callagan Hwy # 3187a-1,San Diego,CA,92136,,(619) 239-3601,Afbca.Com,,,,602101,Banks,522110,Commercial Banking,6,$0 ,,,
,California Bank & Trust,,,11622 El Camino Real # 200,San Diego,CA,92130,Carmel Valley,(858) 793-7400,Calbanktrust.Com,,,"California Bank & Trust, also known as CB&T, is one of the leading banks in California. The bank offers a range of financial products and services. It maintains branch offices throughout the California. Operational since 1998, the bank has more than $10 billion in assets. The bank offers personal and business checking, money market and savings accounts. California Bank & Trust also provides Certificates of Deposit and Individual Retirement Accounts, as well as online banking and cash management services. It offers home equity, mortgage, auto and construction loans. The bank s division includes Antelope Valley Bank. California Bank & Trust is a subsidiary of Zions Bancorporation.",602101,Banks,522110,Commercial Banking,6,$0 ,,,
,Pay Lease LLC,,,9330 Scranton Rd # 450,San Diego,CA,92121,Sorrento Valley,(866) 729-5327,Paylease.Com,,,,732202,Collection Systems,561440,Collection Agencies,6,$0 ,,,
,Relias Learning,,,10755 Scripps Poway Pkwy # F,San Diego,CA,92131,Miramar Ranch North,(858) 538-9393,Reliaslearning.Com,,,,829972,Education Centers,611710,Educational Support Services,9,$0 ,,,
,Tear Lab Corp,,,9980 Huennekens St # 100,San Diego,CA,92121,Sorrento Valley,(858) 455-6006,Tearlab.Com,,,"TearLab Corporation develops and markets lab-on-a-chip technologies that enable eye care practitioners to improve standard of care by objectively and quantitatively testing for disease markers in tears at the point-of-care. The TearLab Osmolarity Test, for diagnosing Dry Eye Disease, is the first assay developed for the award-winning TearLab Osmolarity System. Headquartered in San Diego, Calif., TearLab Corporation's common shares trade on the NASDAQ.",384103,Hospital Equipment & Supplies-Mfrs,339112,Surgical & Medical Instrument Manufacturing,9,$0 ,,,
,ACADIA Pharmaceuticals Inc,,,3611 Valley Centre Dr # 300,San Diego,CA,92130,Carmel Valley,(858) 558-2871,Acadia-Pharm.Com,,,"ACADIA Pharmaceuticals is a biopharmaceutical company utilizing technology to fuel drug discovery and clinical development of treatments for central nervous system disorders. It has five drug programs in clinical and pre-clinical development directed at large unmet medical needs and major commercial markets. ACADIA s three Phase II-stage clinical programs are ACP-103 for treatment-induced dysfunction in Parkinson's disease, ACP-103 as an adjunctive therapy for schizophrenia and ACP-104 for treatment of schizophrenia. The company also has clinical and pre-clinical development programs in the areas of neuropathic pain and glaucoma in collaboration with Allergan. ACADIA maintains headquarters and biology research facilities in San Diego and a chemistry research facility in Malmo, Sweden. It trades on NASDAQ under the symbol ACAD.",873126,Biotechnology Products & Services,541714,Research-Devmnt In Biotechnology (Except Nanobio),10,$0 ,,,
,Gen Mark Diagnostics Inc,,,5964 LA Place Ct # 100,Carlsbad,CA,92008,,(760) 448-4300,Genmarkdx.Com,,,,807101,Laboratories-Medical,621511,Medical Laboratories,10,$0 ,,,
,Tacna Services Inc,,,1401 Air Wing Rd,San Diego,CA,92154,Otay Mesa,(619) 661-1261,Tacna.Net,,,,399903,Manufacturers,339999,All Other Miscellaneous Manufacturing,10,$0 ,,,
,Cuyamaca College,,,900 Rancho San Diego Pkwy,El Cajon,CA,92019,,(619) 660-4000,Cuyamaca.Edu,,,"Established in 1978, Cuyamaca College offers a wide range of degree and certificate programs to students. It offers courses in a variety of subjects that include anthropology, history, political science and sociology. The college has academic departments for music and theatre arts. Cuyamaca College offers courses in various foreign languages that include Arabic, Aramaic, French and Spanish. Additionally, it offers academic programs in chemistry, geography, astronomy and physics. The college also offers certification programs in automotive technology. It offers a variety of sports activities to students that include golf, soccer, basketball, tennis and volleyball. It also offers financial-aid to students. It offers various amenities, including a library, a science laboratory and a playing field. The college also offers career counseling services to students.",822101,Schools-Universities & Colleges Academic,611310,"Colleges, Universities & Professional Schools",10,$0 ,,,
,Grossmont College,,,8800 Grossmont College Dr,El Cajon,CA,92020,,(619) 644-7000,Grossmont.Edu,,,"Gross-Cuyamaca Community College District, located in El Cajon, Calif., offers a variety of academic and extracurricular programs to students. It provides services through various departments, such as human resources and administration, business, research, planning and academic, risk management, accounting, public safety, visual and performing arts, intergovernment, economics development and public information. The university s educational program includes arts, health science, finance, management marketing, business administration, and arts and science programs. It organizes projects, including general and community education, sports tournaments, and international students exchange projects. The district s library has a large collection of dictionaries, biographical resources, book reviews, statistical information, legislative information, digital course notes, course documents and newspapers collection. It additionally organizes sports activities, such as baseball, volleyball, soccer, tennis, football and golf.",822101,Schools-Universities & Colleges Academic,611310,"Colleges, Universities & Professional Schools",10,$0 ,,,
,Mitek Systems Inc,,,600 B St # 100,San Diego,CA,92101,Core-Columbia,(619) 269-6800,Miteksystems.Com,,,"Since its founding in 1985, Mitek Systems has provided security software and intelligent character recognition solutions. It has developed solutions for security, recognition and identity verification challenges, such as verifying the authenticity of a signature, reading the courtesy and legal amounts on checks, and finding specific data on any random form. The company markets and supports recognition software used to test, clean, read and authenticate imaged checks or documents. Its technology is used to process more than 8 billion checks per year. Mitek Systems is located in San Diego.",737108,Computer-Software Developers,541511,Custom Computer Programming Services,11,$0 ,,,
,Evans Tire & Svc Ctr,,,2520 Pioneer Ave,Vista,CA,92081,,(760) 579-4470,Evanstire.Com,,,"Evans Tire & Service Centers is one of the leading tire dealers and a repair center in the United States. Based in Escondido, Calif., the center offers professional, technical repair and maintenance services using its state-of-the-art equipment. It offers various services, such as oil change, shocks and struts, alignment, brake service, brake fluid exchange, transmission flush, power steering flush, fuel system service and tire rotation and rebalance of wheels. It has numerous tire and wheel brands comprising GEOSTAR, DUNLOP, NANKANG, Good Year, American Racing, ATX, Lorenzo, XD Series, among others. The company offers free alignment on purchases of selected tire brands.",753801,Automobile Repairing & Service,811111,General Automotive Repair,12,$0 ,,,
,Brehm Communications Inc,,,16644 W Bernardo Dr # 300,San Diego,CA,92127,Rancho Bernardo,(858) 451-6200,Brehmcommunications.Com,,,"Brehm Communications has had a long and continuous history in the newspaper industry, having been founded in November of 1919 with the purchase of the Fort Madison, Iowa, Evening Democrat by W. J. (Bill) McGiffin. This original newspaper remains a part of the company. The company s growth, in large part, has been due to the effort and loyalty of its employees, who enjoy their work and believe in their product. It is also a reflection of the Brehm family s philosophy that it is in a people industry, dedicated not only to those they serve but also to those who perform the service. The corporate headquarters of Brehm Communications is located in San Diego, Calif. There are more than 50 daily, weekly, semiweekly and tri-weekly newspapers and shoppers located in the states of California, Arizona, Nevada, Utah, Iowa, Illinois and Indiana. Offices are maintained in more than 30 communities, with seven of those having rotary offset printing presses with process color capability.",271101,Newspapers (Publishers/Mfrs),511110,Newspaper Publishers,14,$0 ,,,
,Imprimis Pharmaceuticals Inc,,,12264 El Camino Real # 350,San Diego,CA,92130,Carmel Valley,(858) 704-4040,Imprimispharma.Com,,,"Transdel Pharmaceuticals is a publicly traded company that specializes in developing noninvasive, topically delivered medications. Its patented Transdel cream formulation technology is designed to facilitate the penetration of drugs through the tough skin barrier to reach the target underlying tissues. The company is also developing drug candidates and treatments for transdermal delivery using Transdel platform technology for products in pain management and other therapeutic areas, as well as for cosmetic products. Transdel Pharmaceuticals also produces a topical drug, Ketotransdel.",591207,Pharmaceutical Consultants,446110,Pharmacies & Drug Stores,15,$0 ,,,
,Brigantine Inc,,,7889 Ostrow St,San Diego,CA,92111,Kearny Mesa,(858) 268-1030,Brigantine.Com,,,"Brigantine Corporation includes Azul La Jolla, Brigantine Seafood Restaurants, Miguel's Cocinas and Z calo Grill, all in California. The first Brigantine restaurant was opened by Mike and Barbara Morton on Shelter Island, Calif., in 1969. Its menu consisted of nine items, including a late-night entr e and beef stew. In the summer of 1973, the couple opened their second location in Coronado, followed by restaurants in Del Mar and Escondido. Eventually there would be Brigantine Seafood Restaurants throughout San Diego County, including La Mesa, Poway and Old Town. Every year since 1987, a small contingent of employees and managers travels from San Diego to Sonoma to participate in the custom blending of the company s house chardonnay and merlot. Brigantine Corporation is in San Diego.",581220,Restaurant Management,722310,Food Service Contractors,15,$0 ,,,
,Sea Spine Holdings Corp,,,5770 Armada Dr,Carlsbad,CA,92008,,(760) 727-8399,Seaspine.Com,,,,384104,Physicians & Surgeons Equip & Supls-Mfrs,339112,Surgical & Medical Instrument Manufacturing,17,$0 ,,,
,San Diego Private Bank,,,801 Orange Ave # 101,Coronado,CA,92118,,(619) 437-1000,Sandiegoprivatebank.Net,,,"Coronado First Bank is a financial institution that offers a range of personal banking solutions for customers throughout California. It provides online and 24-hour telephone banking services. The bank also offers CDARS for businesses, nonprofit organizations, trustees and financial advisors. It provides checking and savings accounts, as well as certificates of deposit. Coronado First Bank offers safe-deposit boxes to store medical records and birth certificates. It provides ATMs that enable clients to access account information. The bank offers construction, real estate, equipment and home improvement loans for clients in the industrial, residential, commercial and retail sectors. It provides a financial calculator for customers to calculate monthly loan payments.",602101,Banks,522110,Commercial Banking,18,$0 ,,,
,Info Sonics Corp,,,3636 Nobel Dr # 325,San Diego,CA,92122,University City,(858) 373-1600,Infosonics.Com,,,"InfoSonics Corporation is one of the largest and fastest growing providers of wireless handsets and accessories in the United States and Latin America. The company facilitates the delivery of wireless handsets from the factory floor to the final consumer. In this complex chain of events, it conducts the technical adaptation of the product to the different wireless networks and customizes the software for these devices so they can communicate with the operators  towers and have access to Internet and other Web services. In addition, the company also provides a basket of services that includes selling, marketing, after sales service and consumer support. InfoSonics is headquartered in San Diego, with other locations in Miami, Guatemala, El Salvador, Mexico, Argentina, Colombia and Uruguay.",481207,Cellular Telephones (Services),517312,Wireless Telecomms Carriers (Except Satellite),18,$0 ,,,
,Kyriba Corp,,,9620 Towne Centre Dr # 250,San Diego,CA,92121,University City,(858) 210-3560,Kyriba.Com,,,,737206,Computer Software,511210,Software Publishers,18,$0 ,,,
,Terra Nova Technologies Inc,,,10770 Rockville St # A,Santee,CA,92071,,(619) 596-7400,Tntinc.Com,,,"Terra Nova Technologies (TNT) provides consulting services and design sourcing to the mining and mineral processing, coal, aggregate and cement industries. As a designer and manufacturer of material handling systems and crushing plants, TNT's resume of successful projects and clients includes mining companies with operations throughout the Western Hemisphere. Terra Nova Technologies also offers collateral consulting services for mine operators and engineering houses during feasibility, design, fabrication or construction processes. It has developed a range of services, including spare parts and equipment sourcing, expediting services, system debottlenecking, maintenance improvement programs and operator training. Terra Nova Technologies is located in Santee, Calif.",873111,Environmental & Ecological Services,541714,Research-Devmnt In Biotechnology (Except Nanobio),18,$0 ,,,
,Trovagene Inc,,,11055 Flintkote Ave # A,San Diego,CA,92121,Torrey Preserve,(858) 952-7570,Trovagene.Com,,,"TrovaGene is a developer of molecular diagnostics products for the health care industry worldwide. The company offers a variety of testing options for infectious diseases. It provides diagnostic tools in the areas of oncology, transplantation monitoring and prenatal genetic testing. TrovaGene offers cell transplant and therapeutic monitoring services. It also provides medical testing products for the detection and monitoring of several health conditions, including cervical cancer, tuberculosis and HIV. The company offers assays for the diagnosis of pathogens in inaccessible tissues. It conducts clinical trials to determine the effectiveness of cancer therapies. The company additionally provides kits to detect fetal DNA in maternal urine.",801104,Clinics,621493,Freestanding Ambulatory Surgical & Emergency Ctrs,20,$0 ,,,
,Standard Drywall Inc,,,9902 Channel Rd,Lakeside,CA,92040,,(619) 443-7034,Standarddrywall.Com,,,"Standard Drywall, also known as SDI, is a residential drywall subcontractor. Operational since 1955, it undertakes projects for offices, educational institutions, hotels, resorts and medical facilities. The company also specializes in acoustical tile ceilings, cold-formed and light-gauge metal framing and gypsum wallboard assemblies. Standard Drywall offers fireproofing, stone veneering, painting and sound spraying services. The company manages a staff of more than 1,500 employees, including project managers, estimators, superintendents and craftsmen. It has undertaken projects for the Back Bay Science Center, Clovis North Educational Center, Intermountain Medical Center, Hard Rock Hotel and Empire Towers. Standard Drywall serves clients in California, Utah, Nevada and Wyoming.",174203,Dry Wall Contractors,238310,Drywall & Insulation Contractors,20,$0 ,,,
,Parallel Capital Partners,,,4105 Sorrento Vly Bl # 100,San Diego,CA,92121,Sorrento Valley,(858) 882-9500,Parallelcapitalpartners.Com,,,"Pacific Office Properties Trust, incorporated in March 1988, is a real estate investment trust. Since 2003, it has been liquidating its loan and land holdings, and returning capital to its shareholders through regular and special dividends. As of June 2004, Pacific Office Properties Trust sold its remaining holdings, with the exception of approximately 280 acres of land in Maricopa County in Arizona. Three months later the company sold its interest in Pinnacle Peak Office and Resort Investors. In January 2005, the company engaged Peacock, Hislop, Staley & Given to assist in developing and evaluating strategic alternatives available to Pacific Office Properties Trust to enhance shareholder value. Pacific Office Properties Trust maintains corporate headquarters in Phoenix.",679801,Real Estate Investment Trusts,525990,Other Financial Vehicles,20,$0 ,,,
,Kyocera International Inc,,,8611 Balboa Ave,San Diego,CA,92123,Kearny Mesa,(858) 576-2600,Americas.Kyocera.Com,,,,367498,Semiconductors & Related Devices (Mfrs),334413,Semiconductors & Related Devices Manufacturing,24,$0 ,,,
,Invetech Inc,,,9980 Huennekens St # 140,San Diego,CA,92121,Sorrento Valley,(858) 768-3232,Invetech.Com.Au,,,,356907,Automation Systems & Equipment-Mfrs,333999,All Other Misc General Purpose Machinery Mfg,25,$0 ,,,
,Franklin Wireless Corp,,,9707 Waples St # 150,San Diego,CA,92121,Sorrento Valley,(858) 623-0000,Franklinwireless.Com,,,"Founded in 1982, Franklin Wireless Corporation is one of the leading companies that designs and markets wireless broadband high-speed data communication products in the United States. It serves wireless companies in North America and South American countries. The company s products are marketed through original equipment manufacturers and distributors. Franklin Wireless Corporation offers wireless data products that include personal computer cards, embedded modules and standalone broadband modems used for high-speed data applications. It also provides solutions to electronic consumer product companies. The company serves cellular operators, government agencies, personal computer manufacturers and application integrators, as well as the automotive, telemetry and vertical markets.",504506,Data Communications Equip/Systems (Whls),423430,Computer & Peripheral Equip/Software Mrchnt Whlsrs,25,$0 ,,,
,Pfenex Inc,,,10790 Roselle St,San Diego,CA,92121,Sorrento Valley,(858) 352-4400,Pfenex.Com,,,,283498,Pharmaceutical Preparation (Mfrs),325412,Pharmaceutical Preparation Manufacturing,25,$0 ,,,
,Bre Edison LP,,,17190 Bernardo Center Dr # 200,San Diego,CA,92128,Rancho Bernardo,(858) 485-9840,Biomedrealty.Com,,,"BioMed Realty Trust is a real estate investment trust focused on acquiring, developing, owning, leasing and managing laboratory and office space for the life science industry. Its tenants include biotechnology and pharmaceutical companies, scientific research institutions, government agencies and other entities involved in the life science industry. The company s properties and primary acquisition targets are generally located in centers for scientific research, such as Boston, San Diego, San Francisco, Seattle, Washington, D.C., and New York. BioMed Realty Trust owns more than 40 properties, which consist of 60-plus buildings and 4.8 million square feet. Formed in 2004, BioMed Realty Trust is headquartered in San Diego. The company s stock trades on the New York Stock Exchange under the symbol BMR.",679801,Real Estate Investment Trusts,525990,Other Financial Vehicles,25,$0 ,,,
,Bofi Federal Bank,,,4350 LA Jolla Village Dr # 140,San Diego,CA,92122,University City,(858) 350-6200,Bankofinternet.Com,,,"Bank of Internet USA is a financial institution that offers a range of commercial and personal banking solutions. Established in 1999, the bank provides savings, checking and money market accounts and certificates of deposit. Bank of Internet USA additionally offers an online loan calculator that helps clients calculate monthly loan and interest payments. The bank offers home equity, mortgage, real estate, auto and recreational vehicle loans. Bank of Internet USA provides credit and debit cards and ATMs. The bank offers online checking accounts, as well as information about interest rates. Bank of Internet USA provides overdraft protection and check imaging services.",602101,Banks,522110,Commercial Banking,26,$0 ,,,
,Bofi Holding Inc,,,4350 LA Jolla Village Dr # 140,San Diego,CA,92122,University City,(858) 350-6200,Bankofinternet.Com,,,"BofI Holding, with headquarters in San Diego, is the parent company for Bank of Internet USA, an FDIC insured, savings bank that operates primarily via the Internet. Established in 1999, it offers a variety of consumer banking services, including traditional deposit services, loans, investment services and ATM/debit cards. Bank of Internet offers products through its websites at www.BofI.com, www.SeniorBofI.com and www.ApartmentBank.com. The shares of BofI Holding are traded on the NASDAQ exchange under the symbol BOFI.",671201,Holding Companies (Bank),551111,Offices Of Bank Holding Companies,26,$0 ,,,
,Biocept Inc,,,5810 Nancy Ridge Dr # 150,San Diego,CA,92121,Sorrento Valley,(858) 320-8200,Biocept.Com,,,"Biocept, located in San Diego, is one of the leading companies providing genetic testing services. Founded in 1997, the company offers a wide variety of academic and industrial life sciences research services. It is a privately held company and is governed by a board of directors and management team who come from diverse backgrounds and experienced in various life science companies. Biocept provides CEE, which is a cell enrichment and extraction technology designed to isolate and extract cells for genetic analysis. The company s CEE technology works according to the principles of microelectromechanical systems and nanotechnology manufacturing, capturing individual target cells from a heterogeneous cell population, and providing clinical information.",873126,Biotechnology Products & Services,541714,Research-Devmnt In Biotechnology (Except Nanobio),27,$0 ,,,
