"Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Neighborhood","Phone Number Combined","Website","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Actual","Location Sales Volume Actual"
"Caltex Energy Resources LLC","Balazs","Wellisch","5901 Priestly Dr # 204","Carlsbad","CA","92008","","(619) 483-1225","Caltexenergyresources.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Canadian Energy Exchange","","","1900 N Coast Highway 101 # B","Encinitas","CA","92024","","Not Available","Canadianenergyexchange.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Cannon Power Group","John","Prock","12555 High Bluff Dr # 320","San Diego","CA","92130","Carmel Valley","(858) 461-1258","Cannonpowergroup.Com","152103","General Contractors","236115","New Single-Family Hsng Constr (Exc For-Sale Bldrs)","00004","$1,332,000"
"Caywood Designs","Tom","Caywood","1017 El Cajon Blvd # D","El Cajon","CA","92020","","(619) 579-9335","Caywood-Designs.Com","738940","Drafting Services","541340","Drafting Services","00001","$106,000"
"City Electric Supply","Rodney","Harvey","11305 Rancho Bernardo Rd # 104","San Diego","CA","92127","Rancho Bernardo","(858) 451-0225","Cityelectricsupply.Com","506330","Electric Equipment & Supplies-Wholesale","423610","Electrical Apparatus/Wiring Supls/Rel Equip Whlsrs","00004","$3,948,000"
"Clean Energy","","","2521 Pacific Hwy","San Diego","CA","92101","Midtown","(619) 702-7582","Cnglngstations.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Clear Blue Energy Corp","Paul","Santina","17150 Via Del Campo # 203","San Diego","CA","92127","Rancho Bernardo","(858) 451-1549","Cbesco.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00007","$1,009,000"
"CLEARESULT","","","409 Camino Del Rio S # 310","San Diego","CA","92108","Mission Valley East","(619) 295-5131","Greenbuildacademy.Org","874212","Energy Conservation & Mgmt Consultants","541612","Human Resources Consulting Services","00002","$228,000"
"Coastal Solar","","","1489 Poinsettia Ave","Vista","CA","92081","","(760) 842-8080","Coastalsolar.Biz","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Comprizenergy LLC","","","11712 Treadwell Dr","Poway","CA","92064","","(858) 735-6927","Comprizenergy.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Council-Clean & Renewable","Mark","Randall","7668 El Camino Real # 104-321","Carlsbad","CA","92009","","(760) 420-5529","Ccregreenscore.Org","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Cpl Cable Pipe-Leak Detection","Brad","Belus","1483 N 2nd St # 201","El Cajon","CA","92021","","(619) 873-1530","Sandiegocpl.Com","507422","Leak Detecting Instruments (Whls)","423720","Plumbing & Htg Equip/Supls (Hydronics) Mrchnt Whls","00013","$11,923,000"
"CTE","","","124 E 30th St","National City","CA","91950","National City","(619) 649-4000","Cte-Inc.Net","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"D & R Calcs","","","14107 Ipava Dr","Poway","CA","92064","","Not Available","Dandrcalcs.Com","874212","Energy Conservation & Mgmt Consultants","541612","Human Resources Consulting Services","00002","$228,000"
"Desert Theater","Brandon","Bullard","9655 Kiwi Meadow Ln","Escondido","CA","92026","","(760) 594-2331","Deserttheater.Com","526108","Nurserymen","444220","Nursery, Garden Center & Farm Supply Stores","00001","$203,000"
"Distributed Energy Solutions","Murray","Milan","1820 Melrose Dr # 220","San Marcos","CA","92078","University Commons","(760) 761-0008","Distributedenergysolutions.Net","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00001","$145,000"
"Dnv Gl","Leslie","Owashi","3603 5th Ave","San Diego","CA","92103","Hillcrest","(619) 688-0960","Dnvgl.Com/Oilgas","874212","Energy Conservation & Mgmt Consultants","541612","Human Resources Consulting Services","00010","$1,139,000"
"Dynamic Resources Intl","Dianne","Ruth","1761 Hotel Cir S # 356","San Diego","CA","92108","Mission Valley West","(858) 560-0439","Dynamicresources.Net","804930","Physiotherapists","621399","Offices Of All Other Misc Health Practitioners","00001","$62,000"
"E D F Renewable Energy","","","15435 Innovation Dr","San Diego","CA","92128","Carmel Mountain","(858) 618-4806","Edf-Re.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"East County Pump","Dan","Wasson","22011 Japatul Rd","Alpine","CA","91901","","(619) 445-8828","Eastcountypump.Com","493902","Utilities","541618","Other Management Consulting Services","00002","$807,000"
"Edf Renewable Energy Inc","","","700 LA Terraza Blvd","Escondido","CA","92025","Central Escondido","(858) 521-3300","Edf-Re.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"EDF Renewable Energy Inc","","","15445 Innovation Dr","San Diego","CA","92128","Carmel Mountain","(858) 521-3300","Edf-Re.Com","171111","Solar Heating Contractors","238220","Plumbing Htg & Air-Conditioning Contractors","00004","$369,000"
"EE Borrego Land LLC","Mark E","Anderson","4660 LA Jolla Village Dr","San Diego","CA","92122","University City","(858) 638-7115","Eurusenergy.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$0"
"Elor Energy Inc","Guy","Motaey","14545 Cedar Ridge Ct","Poway","CA","92064","","(858) 391-9095","Elorenergy.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00010","$1,441,000"
"Emissive Energy Corp","","","208 N Freeman St","Oceanside","CA","92054","Downtown Oceanside","(401) 294-2030","Inforce-Mil.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Empowered Energy Solutions Inc","","","4542 Ruffner St # 110","San Diego","CA","92111","Kearny Mesa","(858) 292-6100","Empoweredenergysolutions.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Empowered Energy Solutions Inc","Ted","Torre-Bueno","8555 Aero Dr # 305","San Diego","CA","92123","Serra Mesa","(858) 292-6100","Empoweredenergysolutions.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00005","$721,000"
"Ener NOC Inc","","","3421 Filoli Cir","Carlsbad","CA","92009","","(617) 224-9900","Enernoc.Com","874212","Energy Conservation & Mgmt Consultants","541612","Human Resources Consulting Services","00014","$1,594,000"
"Ener NOC Inc","","","215 Fireside St","Oceanside","CA","92058","San Luis Rey","(760) 529-0466","Enernoc.Com","874212","Energy Conservation & Mgmt Consultants","541612","Human Resources Consulting Services","00014","$1,594,000"
"Ener NOC Inc","","","16595 Dove Canyon Rd","San Diego","CA","92127","","(858) 487-2036","Enernoc.Com","874212","Energy Conservation & Mgmt Consultants","541612","Human Resources Consulting Services","00014","$1,594,000"
"Ener NOC Inc","","","7183 Opportunity Rd","San Diego","CA","92111","Kearny Mesa","(858) 499-8941","Enernoc.Com","874212","Energy Conservation & Mgmt Consultants","541612","Human Resources Consulting Services","00014","$1,594,000"
"Energy Control Ctr","","","PO Box 2711","Carlsbad","CA","92018","","(760) 720-0834","Energycontrolcenters.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Energy Inspectors","Galo","Lebron","1406 Commerce St","San Marcos","CA","92078","","(760) 761-3695","Energyinspectors.Com","874212","Energy Conservation & Mgmt Consultants","541612","Human Resources Consulting Services","00002","$228,000"
"Energy Inspectors LLC","Gallo","Levron","1 Civic Center Dr # 300","San Marcos","CA","92069","","(760) 761-3695","Energyinspectors.Com","738999","Business Services NEC","561990","All Other Support Services","00010","$1,055,000"
"Energy Technology & Svc Inc","Rob","Winn","2637 Ariane Dr","San Diego","CA","92117","Bay Ho","(858) 274-3560","Etsi-Us.Com","521136","Energy Conservation Prods-Svcs-Systems","444190","Other Building Material Dealers","00003","$1,225,000"
"Energy Within Pilates","","","914 N Coast Highway 101 # E","Encinitas","CA","92024","","(760) 212-3490","Energywithin.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"EPC Power Corp","Allan","Abela","13125 Danielson St # 112","Poway","CA","92064","","(858) 748-5590","Epcpower.Com","737902","Electronics-Consultants","541512","Computer Systems Design Services","00005","$820,000"
"Eskinder Berhanu & Assoc","Eskinder","Berhanu","1465 C St # 3504","San Diego","CA","92101","East Village","(619) 338-9395","Ebaenergy.Com","874212","Energy Conservation & Mgmt Consultants","541612","Human Resources Consulting Services","00001","$114,000"
"Eurus Energy America","","","4660 LA Jolla Village Dr # 400","San Diego","CA","92122","University City","(858) 638-7115","Eurusenergy.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Eurus Energy America Corp","Mark","Anderson","9255 Towne Centre Dr # 840","San Diego","CA","92121","University City","(858) 638-7115","Eurusenergy.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$0"
"Everyday Communications Corp","","","5865 Avenida Encinas # 142a","Carlsbad","CA","92008","","(760) 607-7200","Everydayenergy.Us","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Flux Power Inc","Chris","Anthony","985 Poinsettia Ave","Vista","CA","92081","","(760) 741-3589","Fluxpwr.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$0"
"Forward Electric","Lee T","Richardson","2675 Fletcher Pkwy # 221","El Cajon","CA","92020","","(858) 519-6800","Forwardelectricsd.Com","491101","Electric Companies","221122","Electric Power Distribution","00012","$6,722,000"
"Future Energy Savers","Jim","Allen","4120 Avenida DE LA Plata","Oceanside","CA","92056","Ivey Ranch - Rancho Del Oro","(760) 477-9700","Energysavers.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Gallant Energy Consulting","Mark","Gallant","508 W Mission Ave # 201","Escondido","CA","92025","Central Escondido","(760) 743-5408","Title-24.Com","874212","Energy Conservation & Mgmt Consultants","541612","Human Resources Consulting Services","00001","$114,000"
"Gallant Energy Consulting","Mark","Gallant","2171 India St # B","San Diego","CA","92101","","(619) 531-1122","Title-24.Com","874212","Energy Conservation & Mgmt Consultants","541612","Human Resources Consulting Services","00001","$114,000"
"General Atomics Elctro Syst","","","35500 General Atomics Ct","San Diego","CA","92121","","(858) 455-3000","Ga-Asi.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Golden W Energy","","","14040 Ridge Canyon Rd","Valley Center","CA","92082","","(800) 672-4997","Goldenwestenergy.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Golden West Energy","","","","Valley Center","CA","92082","","(619) 846-8655","Goldenwestenergy.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Green Charge Networks","","","2305 Historic Decatur Rd # 100","San Diego","CA","92106","Naval Training Center","Not Available","Greencharge.Net","874212","Energy Conservation & Mgmt Consultants","541612","Human Resources Consulting Services","00002","$228,000"
"Green Energy Innovations","John","Song","1011 Pioneer Blvd","Chula Vista","CA","91911","","(619) 494-2440","Geinnovationsinc.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Hammer Mechanical Inc","Seth","Hammer","1340 Specialty Dr # B","Vista","CA","92081","","(760) 597-9282","Hammermechanical.Com","171114","Mechanical Contractors","238210","Electrical Contr & Other Wiring Installation Contr","00005","$721,000"
"Healing Energy Angel","Flora","Espino","1550 Broadway # F","Chula Vista","CA","91911","Otay Town","(619) 957-5938","Healingenergyangel.Com","804953","Reiki","621399","Offices Of All Other Misc Health Practitioners","00002","$1,153,000"
"Herca Solar Inc","","","580 Airport Rd # A","Oceanside","CA","92058","Oceanside Municipal Airport","(760) 754-9609","Dp.G.Doubleclick.Net","171102","Heating Contractors","238220","Plumbing Htg & Air-Conditioning Contractors","00005","$721,000"
"Hisco Inc","Richard","French","2215 Paseo DE Las Americas #29","San Diego","CA","92154","Otay Mesa","(858) 513-7748","Hisco.Com","508522","Industrial Equipment & Supplies (Whls)","423830","Industrial Machinery & Equipment Merchant Whlsrs","00010","$12,810,000"
"Home Energy Systems Inc","Martin","Learn","5980 Fairmount Ave # 105","San Diego","CA","92120","Grantville","(619) 692-2015","Sdsunfun.Com","343305","Solar Energy Equipment-Manufacturers","333414","Heating Equipment (Except Warm Air Furnaces) Mfg","00005","$1,393,000"
"Homegrown Energy Solutions LLC","","","4859 Monroe Ave","San Diego","CA","92115","Talmadge","(619) 365-4864","Homegrownenergysolutions.Com","343305","Solar Energy Equipment-Manufacturers","333414","Heating Equipment (Except Warm Air Furnaces) Mfg","00004","$1,115,000"
"Innovative Energy Svc Inc","","","4558 Saluto Ct","San Diego","CA","92130","Carmel Valley","(858) 792-8228","Innovativenrg.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Kearny Mesa Electric Co","Sandy","Shvil","5442 Caminito Vista Lujo","San Diego","CA","92130","Carmel Valley","(858) 259-1324","Kmecompany.Com","173101","Electric Contractors","238210","Electrical Contr & Other Wiring Installation Contr","00002","$289,000"
"Kuroda Electric","Senju","Furuie","2320 Paseo DE Ls Americas #109","San Diego","CA","92154","Otay Mesa","(619) 661-8002","Kuroda-Electric.Co.Jp","173101","Electric Contractors","238210","Electrical Contr & Other Wiring Installation Contr","00004","$577,000"
"LA Costa Energy Efficiency Drs","Howard","Cagan","2173 Salk Ave # 205","Carlsbad","CA","92008","","(949) 350-5348","Lacostadoors.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00005","$721,000"
"Leucadia Electric","Dave","Guidero","133 2nd St","Encinitas","CA","92024","","(760) 944-6708","Leucadiaelectric.Com","173101","Electric Contractors","238210","Electrical Contr & Other Wiring Installation Contr","00010","$1,441,000"
"Mans & Assoc","Mohan","Mansukhani","12460 Camarero Ct","San Diego","CA","92130","Carmel Valley","(858) 794-4883","Mansell.Net","491101","Electric Companies","221122","Electric Power Distribution","00001","$561,000"
"Many Circuit Breakers","Manny","Tadeo","7980 Ronson Rd","San Diego","CA","92111","Kearny Mesa","(858) 715-8215","Manycircuitbreakers.Com","173101","Electric Contractors","238210","Electrical Contr & Other Wiring Installation Contr","00005","$721,000"
"Manzana Energy Inc","","","2873 Lake View Ct","Chula Vista","CA","91915","Eastlake Vistas","Not Available","Manzanasolar.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"MBO Inc","Gendo","Ganev","4830 Viewridge Ave # A","San Diego","CA","92123","Kearny Mesa","(858) 751-5702","Mbo1.Com","871107","Engineers-Air Cond Heating Ventilating","541330","Engineering Services","00010","$1,921,000"
"Mcwire Electric Inc","Andre","Siminoff","1736 N Magnolia Ave","El Cajon","CA","92020","","(619) 258-1242","Mcwireelectric.Net","873103","Solar Energy Research & Development","541715","Research & Devmnt-Physical Engineering Life Sci","00006","$0"
"Mendell Energy LLC","","","7979 Ivanhoe Ave # 300","La Jolla","CA","92037","Village","(858) 456-6022","Picoholdings.Com","874212","Energy Conservation & Mgmt Consultants","541612","Human Resources Consulting Services","00002","$0"
"Mitsubishi Electric","Erik","Moeller","8940 Activity Rd # C","San Diego","CA","92126","Miramar","(858) 527-6554","Mitsubishielevator.Com","506330","Electric Equipment & Supplies-Wholesale","423610","Electrical Apparatus/Wiring Supls/Rel Equip Whlsrs","00014","$13,816,000"
"Motive Energy Inc","Terry","Barker","2870 Executive Pl","Escondido","CA","92029","Vineyard","(760) 747-8412","Motive-Energy.Net","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00006","$865,000"
"Muir Energy","Ian","Mc Nally","2716 Saint Laurent Pl","La Jolla","CA","92037","La Jolla Heights","(858) 964-8579","Muirenergy.Com","804903","Health & Nutrition Consultants","621399","Offices Of All Other Misc Health Practitioners","00001","$62,000"
"Multifamily Utility Co Inc","","","4850 Pacific Hwy","San Diego","CA","92110","Morena","(619) 497-0977","Multifamilyutility.Com","162308","Utility Contractors","237130","Power & Comm Line & Related Structures Constr","00002","$587,000"
"Natural Energy","Ted","Mount","804 N Twin Oaks Valley Rd # 11","San Marcos","CA","92069","","(760) 571-5107","Naturalenergyusa.Com","171144","Solar Heating Systems","238220","Plumbing Htg & Air-Conditioning Contractors","00005","$721,000"
"New Energy Harvest","Kurt","Waefler","4203 Genesee Ave # 103","San Diego","CA","92117","Clairemont Mesa East","(619) 261-4433","Newenergyharvest.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Norman Electric Inc","Pat","Norman","865 Grand Ave","Carlsbad","CA","92008","","(760) 918-1700","Normanelectric.Info","173101","Electric Contractors","238210","Electrical Contr & Other Wiring Installation Contr","00004","$577,000"
"North American Green Energy","","","9302 Bond Ave","El Cajon","CA","92021","","(619) 334-3149","Southwesternsolarsystems.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Oceanside Hauling","","","1711 Walton St","Oceanside","CA","92058","East Side Capistrano","(619) 361-9119","Oceansidehauling.Com","495326","Junk Removal","562219","Other Nonhazardous Waste Treatment & Disposal","00009","$2,498,000"
"Onsite Energy Corp","Richard T","Sperberg","2701 Loker Ave W # 107","Carlsbad","CA","92010","","(760) 931-2400","Onsitenergy.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00018","$2,593,000"
"Pacific Coast Designs","Brian","Bannock","27306 Rowel Ct","Valley Center","CA","92082","","(760) 751-9060","Pacificcoastdesigns.Com","733603","Graphic Designers","541430","Graphic Design Services","00001","$86,000"
"Pacific Integrated Energy Inc","","","11555 Sorrento Valley Rd # 204","San Diego","CA","92121","Torrey Preserve","(858) 350-0435","Pienergy.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Pattern Energy Group LP","","","4225 Executive Sq # 260","La Jolla","CA","92037","University City","(858) 587-5820","Patterndev.Com","521136","Energy Conservation Prods-Svcs-Systems","444190","Other Building Material Dealers","00007","$2,857,000"
"Pauma Valley Community Svc","Mindy","Houser","33129 Cole Grade Rd","Pauma Valley","CA","92061","","(760) 742-1909","Paumavalleycsd.Com","494102","Water & Sewage Companies-Utility","221310","Water Supply & Irrigation Systems","00011","$2,613,000"
"Pawz-Itive Energy","Jennifer","Brewster","4692 Niagara Ave","San Diego","CA","92107","Ocean Beach","(619) 817-5817","Pawzitive-Energy.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"PCN Technology","Dave","Karpenske","7875 Highland Village Pl # 102","San Diego","CA","92129","Torrey Highlands","(858) 434-0605","Pcntechnology.Com","481301","Data Communication Service","517911","Telecommunications Resellers","00006","$2,585,000"
"Peter J Brown Electric","Peter J","Brown","875 Sandcastle Dr","Cardiff By Sea","CA","92007","","(760) 753-4350","Peterjbrownelectric.Com","173101","Electric Contractors","238210","Electrical Contr & Other Wiring Installation Contr","00001","$145,000"
"Phazer Electric Inc","Margaret","Turco","1374 Presioca St","Spring Valley","CA","91977","","(619) 270-2282","Phazerelectric.Com","493902","Utilities","541618","Other Management Consulting Services","00015","$6,047,000"
"Ponizil Energy","Dadla","Ponizil","1145 Stratford Dr","Encinitas","CA","92024","","(760) 487-1776","Ponizilenergy.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Portable Energy Products Inc","Robert","Teal","2365 Michael Faraday Dr","San Diego","CA","92154","Otay Mesa","(619) 710-0758","Innergypower.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Poseidon Resources Corp","Scott","Maloni","5780 Fleet St # 140","Carlsbad","CA","92008","","(619) 595-7802","Poseidon1.Com","874212","Energy Conservation & Mgmt Consultants","541612","Human Resources Consulting Services","00010","$1,139,000"
"Power Logic","Ken","Moss","4558 Brighton Ave","San Diego","CA","92107","Point Loma Heights","(619) 523-6229","Powerlogic-Usa.Com","874212","Energy Conservation & Mgmt Consultants","541612","Human Resources Consulting Services","00002","$228,000"
"Premiere Energy Strategies","","","740 Garden View Ct # 206","Encinitas","CA","92024","","(760) 585-7000","Teampes.Com","628204","Financing Consultants","523930","Investment Advice","00003","$990,000"
"Pure Energy","","","PO Box 880203","San Diego","CA","92168","","Not Available","Djpureenergy.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Quantum Energy Healing Therapy","","","4375 Kamloop Ave","San Diego","CA","92117","Bay Ho","(619) 857-5238","Quantumenergyhealingtherapy.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"R & R Controls Inc","Rick","Delorea","4564 Alvarado Canyon Rd # B","San Diego","CA","92120","Grantville","(619) 516-1880","Rrcontrols.Com","382204","Controls Control Systems/Regulators-Mfrs","334512","Automatic Environmental Control Manufacturing","00009","$1,344,000"
"Residential Raters","Mark","Pulis","15036 Penasquitos Dr","San Diego","CA","92129","Black Mountain Ranch","(858) 869-9412","Resraters.Com","653149","Energy Raters","531390","Other Activities Related To Real Estate","00001","$134,000"
"Right Hand Senergy","Jorge","Culebro","180 Otay Lakes Rd # 205","Bonita","CA","91902","","(619) 434-6565","Righthandsynergy.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Royale Energy Inc","","","1870 Cordell Ct # 210","El Cajon","CA","92020","","(619) 383-6600","Royl.Com","138203","Oil & Gas Exploration & Development","213112","Support Activities For Oil & Gas Operations","00003","$572,000"
"Royale Energy Inc","","","7676 Hazard Center Dr # 1500","San Diego","CA","92108","Mission Valley East","(949) 261-2424","Royl.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"San Diego County Solar","Michael","Davidson","320 N Coast Highway 101 # 104","Encinitas","CA","92024","","(760) 230-2220","Sandiegocountysolar.Com","507405","Solar Energy Equipment-Wholesale","423720","Plumbing & Htg Equip/Supls (Hydronics) Mrchnt Whls","00005","$4,586,000"
"San Diego Technology Group","Scott","Starost","3914 Murphy Canyon Rd # A110","San Diego","CA","92123","Kearny Mesa","(619) 819-2525","Sdtek.Net","152103","General Contractors","236115","New Single-Family Hsng Constr (Exc For-Sale Bldrs)","00005","$1,665,000"
"Seacoast Electric Co","Doug","Grimes","2702 Southport Way # D","National City","CA","91950","National City","(619) 649-0114","Seacoastusa.Com","506330","Electric Equipment & Supplies-Wholesale","423610","Electrical Apparatus/Wiring Supls/Rel Equip Whlsrs","00003","$2,961,000"
