ranking,company,first_name,last_name,address,city,state,zip,neighborhood,phone,website,email,short_description,description,sic,sic_description,naics,naics_description,employees,revenue,tags,notes,username
,American Labor Pool Inc,,,695 Saturn Blvd # A,San Diego,CA,92154,Egger Highlands,(619) 628-5210,Americanlaborpool.Com,,,,152103,General Contractors,236115,New Single-Family Hsng Constr (Exc For-Sale Bldrs),3,"$999,000 ",employment,,
,American Mobile Healthcare,,,12400 High Bluff Dr # 100,San Diego,CA,92130,Carmel Valley,(858) 792-0711,Americanmobile.Com,,,"Founded in 1985, American Mobile Healthcare is a travel nursing company that has a team of recruiters and serves the travel health care industry. It provides various incentive programs that include discounts on hotels, cellular phones, travel accessories, computers and health club memberships. The company offers bonuses, compensations and insurance benefits. American Mobile Healthcare provides housing services in Crescent at Cherry Creek, Kirby Place, Legends at La Paloma and the Fairfield. It offers employment opportunities for nurses, respiratory, physical, occupational and speech therapists, and surgical, medical and magnetic resource imaging technologists. It offers travel assignments at hospitals, such as Aventura Hospital and Medical Center, Emory University Hospital and Fletcher Allen Health Care.",736305,Medical Services-Temporary,561330,Professional Employer Organizations,5,$0 ,employment,,
,American Personal Chef Assn,,,4572 Delaware St,San Diego,CA,92116,University Heights,(619) 294-2436,Personalchef.Com,,,,581212,Caterers,722320,Caterers,6,"$337,000 ",employment,,
,American Personal Chef Inst,,,4572 Delaware St,San Diego,CA,92116,University Heights,(619) 294-2436,Personalchef.Com,,,,736123,Personal Chefs,561311,Employment Placement Agencies,4,"$372,000 ",employment,,
,AMN Healthcare Svc Inc,,,12400 High Bluff Dr # 100,San Diego,CA,92130,Carmel Valley,(858) 792-0711,Amnhealthcare.Com,,,"Founded by a registered nurse, American Mobile Healthcare was started in 1985 in response to increasing demand for travel nurse professionals. Allied Health division of American Mobile Healthcare, which staffs therapists and technologists, was launched in 1991. Since its inception, American Mobile Healthcare travelers have accepted more than 50, 000 assignments in nearly 4, 000 hospitals and healthcare institutions across the U.S. Managed by healthcare staffing professionals, American Mobile Healthcare sets the highest standards in the industry. Based in San Diego, California, its staff of more than 700 employees meets the needs of travelers and client facilities through its unparalleled customer service and commitment to the industry. If you are interested in exploring our company's corporate employment opportunities, please feel free to view the current jobs we have available. American Mobile Healthcare provides its travelers with competitive pay and benefits, including medical, dental and life insurance, a 401 ( k ) retirement plan, quality housing accommodations, free continuing education and a generous reward/incentive program. American Mobile Healthcare also reimburses its travelers for relocation and moving expenses. Travel nursing is an exciting way to advance your career, offering the best professional opportunities while satisfying your sense of adventure. American Mobile Healthcare opens a whole world of opportunities to its nurses and allied health professionals and ensures that every travel assignment is as enjoyable and successful as possible. If you are interested in applying for a travel position, you can do so online.",874242,Health Care Management,541611,Administrative & General Mgmt Consulting Services,1000,$0 ,employment,,
,Appleone,,,100 E San Marcos Blvd # 370,San Marcos,CA,92069,,(760) 591-9743,Appleone.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,11,"$1,023,000 ",employment,,
,Arbor E & T LLC,,,613 W Valley Pkwy # 200,Escondido,CA,92025,Central Escondido,(760) 871-1900,Arboret.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,25,"$2,325,000 ",employment,,
,Arbor E & T Rest Care,,,1750 5th Ave # 2,San Diego,CA,92101,Park West,(619) 321-1800,Rescare.Com,,,,736104,Employment Consultants,541612,Human Resources Consulting Services,75,"$6,975,000 ",employment,,
,Atlas Executive,,,1545 Hotel Cir S,San Diego,CA,92108,Mission Valley West,(619) 255-4504,Atlasexecutive.Com,,,,736105,Executive Search Consultants,561312,Executive Search Services,3,"$279,000 ",employment,,
,Audio Care,,,245 E Main St,El Cajon,CA,92020,,(619) 281-4100,Audiocareinc.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,8,"$744,000 ",employment,,
,Automation Personnel Svc,,,3663 Midway Dr # A,San Diego,CA,92110,Midway District,(619) 656-0077,Apstemps.Com,,,,736304,Employment Contractors-Temporary Help,561320,Temporary Help Services,5,"$256,000 ",employment,,
,Aya Healthcare,,,5930 Cornerstone Ct W # 300,San Diego,CA,92121,Sorrento Valley,(858) 458-4400,Ayahealthcare.Com,,,"Access Nurses is a leading provider of health care staffing, offering service to more than 1,000 health care facilities in the United States. The company recruits nurses and allied health professionals nationally and internationally and places them on travel, per diem and permanent positions throughout the United States. It provides a variety of benefits to its nurses, including housing, medical and dental insurance, relocation reimbursement, licensure assistance and professional liability coverage. Access Nurses maintains a registered nurse on staff to assess its travel and per diem nurse applicants. It also offers clients Internet-based recruiting advertising services and a vendor management system featuring online requisitions, order and applicant tracking, online timecards and vendor performance reporting. Access Nurses was founded in 2001 and is headquartered in San Diego.",804907,Nurses-Practitioners,621399,Offices Of All Other Misc Health Practitioners,50,"$3,087,000 ",employment,,
,Barworks,,,8510 Production Ave # A,San Diego,CA,92121,Miramar,(858) 566-6077,Barworkscatering.Com,,,,581212,Caterers,722320,Caterers,30,"$1,684,000 ",employment,,
,Bent On Cooking,,,13617 Celestial Rd,Poway,CA,92064,,(858) 486-1451,Bentoncooking.Com,,,,829924,Schools-Cooking,611699,All Other Miscellaneous Schools & Instruction,1,$0 ,employment,,
,Bente Hansen & Assoc,,,12707 High Bluff Dr # 200,San Diego,CA,92130,Carmel Valley,(858) 350-4330,Bentehansen.Com,,,,736105,Executive Search Consultants,561312,Executive Search Services,1,"$93,000 ",employment,,
,Bighorn Construction,,,925 Poinsettia Ave # 4,Vista,CA,92081,,(760) 727-8837,Bighornconstructioninc.Com,,,,177105,Concrete Contractors,238110,Poured Concrete Foundation & Structure Contractors,15,"$2,161,000 ",employment,,
,Biophase Solutions Inc,,,5405 Morehouse Dr # 135,San Diego,CA,92121,Sorrento Valley,(858) 552-2000,Biophaseinc.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,7,"$651,000 ",employment,,
,Bond Associates,,,6046 Cornerstone Ct W # 206,San Diego,CA,92121,Sorrento Valley,(858) 558-1620,Bondassociates.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,5,"$465,000 ",employment,,
,Brio-A Personal Chef Svc LLC,,,PO Box 508,Solana Beach,CA,92075,,Not Available,Briocooks.Com,,,,736123,Personal Chefs,561311,Employment Placement Agencies,4,"$372,000 ",employment,,
,Brownthompson Executive Search,,,5080 Shoreham Pl # 204,San Diego,CA,92122,University City,(858) 452-0100,Btexecutivesearch.Com,,,,736105,Executive Search Consultants,561312,Executive Search Services,3,"$279,000 ",employment,,
,Career Finders Resume Svc,,,6920 Miramar Rd # 107c,San Diego,CA,92121,Miramar,(858) 271-4227,Careerfindersinc.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,1,"$93,000 ",employment,,
,Career Services Inc,,,3944 Murphy Canyon Rd # C107,San Diego,CA,92123,Kearny Mesa,(858) 560-6225,Careerservicesinc.Com,,,,833106,Career & Vocational Counseling,624310,Vocational Rehabilitation Services,8,$0 ,employment,,
,Carestat Home Care Specialists,,,10675 Sorrento Valley Rd # 100,San Diego,CA,92121,Sorrento Valley,(858) 452-3900,Ersisthebest.Com,,,,804908,Nurses & Nurses' Registries,621399,Offices Of All Other Misc Health Practitioners,103,"$6,358,000 ",employment,,
,Carey San Diego,,,3045 Rosecrans St # 112,San Diego,CA,92110,Loma Portal,(619) 225-9551,Careysandiego.Com,,,,411903,Limousine Service,485320,Limousine Service,10,"$721,000 ",employment,,
,Caron & Stanley Inc,,,9404 Genesee Ave # 130,La Jolla,CA,92037,University City,(858) 450-6700,Caronstanley.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,5,"$465,000 ",employment,,
,Carpi & Clay-Government Rltns,,,2251 San Diego Ave # A260,San Diego,CA,92110,Old Town,(619) 234-0607,Carpiclay.Com,,,,912101,Government Offices-US,921120,Legislative Bodies,4,$0 ,employment,,
,Carter & Assoc East West,,,PO Box 21444,El Cajon,CA,92021,,(619) 588-5339,Cartermediasearch.Com,,,,736105,Executive Search Consultants,561312,Executive Search Services,3,"$279,000 ",employment,,
,Cbi Group LLC,,,1501 Casho Mill Rd # 9,National City,CA,91950,,(302) 266-0860,Thecbigroup.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,5,"$465,000 ",employment,,
,Center For Excellence,,,6602 Convoy Ct,San Diego,CA,92111,Kearny Mesa,(858) 715-4763,Cc-Sd.Edu,,,,736106,Employment Service-Govt Co Fraternal,561311,Employment Placement Agencies,4,"$372,000 ",employment,,
,Chadwick Village Home Health,,,16236 San Dieguito Rd # 1-16,Rancho Santa Fe,CA,92091,,(858) 756-4226,Domesticstaffing.Com,,,,808201,Home Health Service,621610,Home Health Care Services,6,"$384,000 ",employment,,
,Chadwick Village Staffing,,,1034 America Way,Del Mar,CA,92014,Solana Beach,(858) 756-4226,Domesticstaffing.Com,,,,804908,Nurses & Nurses' Registries,621399,Offices Of All Other Misc Health Practitioners,7,"$433,000 ",employment,,
,Chef 4 U 2 Have!,,,1571 Oliver Ave # 5,San Diego,CA,92109,Pacific Beach,(619) 517-4383,Thechef4u2have.Com,,,,736123,Personal Chefs,561311,Employment Placement Agencies,1,"$93,000 ",employment,,
,Chef Roc Productions,,,10348 Reserve Dr # 301,San Diego,CA,92127,,(619) 933-3991,Goombaimports.Com,,,,736123,Personal Chefs,561311,Employment Placement Agencies,4,"$372,000 ",employment,,
,Chef V,,,1855 Diamond St # 230,San Diego,CA,92109,Pacific Beach,(760) 835-9912,Chefvtx.Com,,,,736123,Personal Chefs,561311,Employment Placement Agencies,4,"$372,000 ",employment,,
,Chef Vivant,,,7386 Melodia Ter,Carlsbad,CA,92011,,(760) 438-8750,Chefvivant.Com,,,,736123,Personal Chefs,561311,Employment Placement Agencies,1,"$93,000 ",employment,,
,Child Care Careers,,,12396 World Trade Dr # 305,San Diego,CA,92128,Carmel Mountain,(858) 673-0060,Childcarecareers.Net,,,,835101,Child Care Service,624410,Child Day Care Services,1,"$25,000 ",employment,,
,Classic Cooking In Your Kitchn,,,Ashburton Rd,San Diego,CA,92128,,(858) 442-5252,Classiccookery.Com,,,,736123,Personal Chefs,561311,Employment Placement Agencies,4,"$372,000 ",employment,,
,Clear Point Solutions Inc,,,4275 Executive Sq # 318,La Jolla,CA,92037,University City,(858) 373-2516,Clearpointsolutions.Com,,,,736105,Executive Search Consultants,561312,Executive Search Services,3,"$279,000 ",employment,,
,Climber.Com Mingle LLC,,,701 B St # 1255,San Diego,CA,92101,Core-Columbia,(619) 618-4205,Climber.Com,,,,738999,Business Services NEC,561990,All Other Support Services,40,"$4,218,000 ",employment,,
,Club Staffing,,,12400 High Bluff Dr # 100,San Diego,CA,92130,Carmel Valley,(561) 367-1175,Clubstaffing.Com,,,"Established in 1999, Club Staffing Inc. is one of the leading health care staffing and recruitment consultants in the United States. Based in Boca Raton, Fla., the firm specializes in the national placement of diagnostic imaging professionals, rehabilitation therapists, respiratory therapists, pharmacists, surgical/laboratory technicians, nurses, physicians and other allied health care specialists. The company also places nurses in travel assignments throughout the United States. Club Staffing Inc. received the Gold Seal certification for health care staffing services from the Joint Commission on Accreditation of Healthcare Organizations (JCAHO) in 2005.",736305,Medical Services-Temporary,561330,Professional Employer Organizations,140,$0 ,employment,,
,Connetics Communications,,,4431 Heritage Glen Ln,San Diego,CA,92130,Carmel Valley,(858) 523-9292,Conneticsusa.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,5,"$465,000 ",employment,,
,Consultnet LLC,,,11230 Sorrento Valley Rd,San Diego,CA,92121,Torrey Preserve,(858) 704-0200,Consultnet.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,1,"$93,000 ",employment,,
,Crunch Care-Sn Diego Nanny,,,8895 Towne Centre Dr # 105,San Diego,CA,92122,University City,(858) 228-5584,Crunch-Care.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,5,"$465,000 ",employment,,
,Culver Careers,,,6610 Flanders Dr,San Diego,CA,92121,,(858) 587-4804,Culvercareers.Com,,,"CulverCareers, established in 1979, is one of the largest, full-service privately held recruitment firms in the United States. The company employs more than 200 recruiters. It offers source talent services. CulverCareers conducts local, regional and national searches. The company s recruiters identify, qualify, present and evaluate individuals. It specializes in providing employment opportunities to sales personnel. The company maintains partnerships with governments, educational institutions and trade organizations. It provides placement opportunities in transportation, shipping, yellow page provider, Internet technology, insurance and storage companies. The company offers resume and interview preparation resources, as well as information related to career change. CulverCareers additionally provides guidance and client information services to candidates.",736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,160,$0 ,employment,,
,Cycling Promotions West,,,14080 Great Plains Rd,Poway,CA,92064,,(858) 679-1027,Tourdepoway.Com,,,,794101,Sports Promoters Managers & Recruiters,711320,Promoters Without Facilities,2,"$461,000 ",employment,,
,Dana's Housekeeping Personnel,,,2555 Camino Del Rio S # 200,San Diego,CA,92108,Mission Valley East,(619) 298-1982,Danashousekeeping.Com,,,"House Keeping Maid Service & Personnel Errands Dana's has been serving all of California since 1976.  With locations in Orange County, Riverside County, San Bernardino County, San Diego County, Los Angeles County, Ventura County and all of Northern California.   There is a difference at Dana's we just do more....... Over 5 Million Homes Cleaned.",734922,House Cleaning,238990,All Other Specialty Trade Contractors,2,"$187,000 ",employment,,
,Davenport Executive Search,,,16236 San Dieguito Rd,Rancho Santa Fe,CA,92091,,(858) 832-8306,Davenportmajor.Com,,,,736105,Executive Search Consultants,561312,Executive Search Services,3,"$279,000 ",employment,,
,Davenport Major Executive,,,12770 High Bluff Dr # 320,San Diego,CA,92130,Carmel Valley,(858) 847-0700,Davenportmajor.Com,,,,874201,Business Management Consultants,541614,"Process, Physical Distr/Logistics Consulting Svcs",3,"$342,000 ",employment,,
,Dcm Creations Inc,,,12526 High Bluff Dr,San Diego,CA,92130,Carmel Valley,(858) 202-1314,Dcmcreations.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,5,"$465,000 ",employment,,
,Delta-T Group San Diego,,,4420 Hotel Circle Ct # 130,San Diego,CA,92108,Mission Valley West,(619) 543-0556,Delta-Tgroup-Sandiego.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,4,"$372,000 ",employment,,
,Domestics & More,,,2120 Jimmy Durante Blvd # 105,Del Mar,CA,92014,Del Mar,(858) 792-6606,Domesticssd.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,2,"$186,000 ",employment,,
,Dragon Chef,,,8590 Rio San Diego Dr # 105,San Diego,CA,92108,Mission Valley East,(619) 692-9898,Dragonchefsd.Com,,,,581208,Restaurants,722511,Full-Service Restaurants,1,"$57,000 ",employment,,
,Drinks On The Go San Diego,,,4396 Bellflower Dr,La Mesa,CA,91941,,(619) 733-8362,Drinksonthegosd.Com,,,,736102,Bartending Service,561320,Temporary Help Services,4,"$372,000 ",employment,,
,E A Outsource & Business Svc,,,2131 Palomar Airport Rd # 320,Carlsbad,CA,92011,,(760) 579-0248,Premierehire.Com,,,,738999,Business Services NEC,561990,All Other Support Services,49,"$5,167,000 ",employment,,
,E P Search,,,2660 Sarnen St # 200,San Diego,CA,92154,Otay Mesa,(619) 661-9000,Epsearch.Com,,,,736105,Executive Search Consultants,561312,Executive Search Services,5,"$465,000 ",employment,,
,E T Search Inc,,,1250 Prospect St # 101,La Jolla,CA,92037,Village,(858) 459-3443,Etsearch.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,5,"$465,000 ",employment,,
,E Z Staffing,,,1423 Broadway,El Cajon,CA,92021,,(619) 749-3835,Ezstaffing.Com,,,,804952,Nursing Services,621399,Offices Of All Other Misc Health Practitioners,2,"$124,000 ",employment,,
,Eastridge Workforce Solutions,,,2355 Northside Dr # 100,San Diego,CA,92108,Mission Valley East,(619) 260-2000,Eastridge.Com,,,"The Eastridge Group of companies is one of the largest privately held staffing firms in California and Nevada, placing candidates in both short-term and full-time positions. It employs approximately 3,000 contractors and temporary employees in general and professional positions. The Eastridge Group of companies consists of a variety of divisions, including Eastridge Administrative Services; Eastridge Direct-Hire, which covers management, sales and administrative; Eastridge Light Industrial; Accounting Resource Solutions; Contractors and Builders, which covers skilled trades and construction labor; Eastridge Infotech, which covers infrastructure and technical support; Exclusively Legal; HR Solutions; Medical Resources Staffing Services, which covers clinical, technical, scientific and administrative; and Pharmacy Placement Professionals. The Eastridge Group is headquartered in San Diego.",736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,285,$0 ,employment,,
,Ecolife Foundation,,,324 State Pl,Escondido,CA,92029,Vineyard,(760) 740-1346,Ecolifefoundation.Org,,,,832218,Social Service & Welfare Organizations,624190,Other Individual & Family Services,8,"$501,000 ",employment,,
,Elite Legal Search LLC,,,8305 Vickers St # 201,San Diego,CA,92111,Kearny Mesa,(858) 452-0900,Elite-Searches.Com,,,,811103,Attorneys,541110,Offices Of Lawyers,5,"$1,097,000 ",employment,,
,Employment Services,,,1202 Morena Blvd # 201,San Diego,CA,92110,Morena,(619) 276-8071,Mhsinc.Org,,,,801101,Physicians & Surgeons,621111,Offices Of Physicians (Exc Mental Health Specs),3,"$647,000 ",employment,,
,Endless Technology Solutions,,,888 Prospect St # 200,La Jolla,CA,92037,Village,(619) 400-7581,Endlesstechnologysolutions.Com,,,,737905,Computer Consultants,541512,Computer Systems Design Services,4,"$656,000 ",employment,,
,Ethiopian Community Svc In SN,,,4265 Fairmount Ave # 180,San Diego,CA,92105,City Heights,(619) 283-2258,Ecssd.Org,,,,736106,Employment Service-Govt Co Fraternal,561311,Employment Placement Agencies,4,"$372,000 ",employment,,
,Executive Development Assoc,,,977 Lomas Santa Fe Dr,San Diego,CA,92130,,(858) 793-5093,Executivedevelopment.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,5,"$465,000 ",employment,,
,Fearless Fitness LTD,,,4206 Sorrento Valley Blvd # G,San Diego,CA,92121,Sorrento Valley,(858) 413-7055,Personaltrainersandiego.Com,,,,736111,Personnel Training Service,561311,Employment Placement Agencies,1,"$93,000 ",employment,,
,Financial Recruiting Solutions,,,10650 Scripps Ranch Blvd # 120,San Diego,CA,92131,Scripps Ranch,(858) 527-0377,Financial-Recruiting.Com,,,"To be viewed as a premier provider of accounting and finance talent within the San Diego Community, while conducting business with integrity and professionalism.",971105,Recruiting-US Armed Forces,928110,National Security,1,$0 ,employment,,
,First String Bartending Svc,,,2754 Wardlow Ave,San Diego,CA,92154,Nestor,(619) 623-3392,Fsbartending.Com,,,,736102,Bartending Service,561320,Temporary Help Services,4,"$372,000 ",employment,,
,Foundation Recruiting,,,17226 Prado Rd,San Diego,CA,92128,Rancho Bernardo,(858) 774-3294,Foundrec.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,5,"$465,000 ",employment,,
,Frank J Rich & Assoc,,,14135 Palisades Dr,Poway,CA,92064,,(858) 513-9474,Fjrich.Com,,,,736105,Executive Search Consultants,561312,Executive Search Services,1,"$93,000 ",employment,,
,Galant Dan,,,8950 Villa LA Jolla Dr,La Jolla,CA,92037,La Jolla Village,(858) 546-1100,Therapybydrdan.Com,,,,804922,Psychologists,621399,Offices Of All Other Misc Health Practitioners,15,"$926,000 ",employment,,
,Global Search,,,1946 Kellogg Ave # A,Carlsbad,CA,92008,,(760) 931-2750,Globalsearchus.Com,,,,736105,Executive Search Consultants,561312,Executive Search Services,3,"$279,000 ",employment,,
,Go Staff,,,5375 Kearny Villa Rd # 108,San Diego,CA,92123,Kearny Mesa,(858) 292-8562,Go-Staff.Com,,,"Founded in 2001, Go-Staff Inc. is a full-service staffing company, serving Southern California. Based in San Diego, Calif., the company offers staffing services for a range of sectors, including transportation, material moving, computer sector, mathematical field, health care, administration. It also places job seekers in a variety of industries, such as construction, commercial business, financial operation, architecture, engineering, management and production sector. Go-Staff Inc. is a member of Associated Builders and Contractors Inc. and Better Business Bureau.",736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,50,"$4,650,000 ",employment,,
,Go-Staff Inc,,,8798 Complex Dr,San Diego,CA,92123,Kearny Mesa,(858) 292-8562,Go-Staff.Com,,,"Go-Staff, Inc is a family owned and operated full-service staffing company serving all of Southern California. We excel at placing job seekers in positions that are right for them, and we help employers in a wide variety of fields find talented employees that meet their needs. We have a remarkably high success rate in placing the right person in the right job. What's our secret? We go out of our way to make personal connections. Building Relationships That Sustain Productivity We are not your everyday employment agency, we develop lasting personal relationships with our job candidates. In fact, we treat them like our own employees. This provides insight into our talent pool that goes far deeper than the information we gather from resumes. We also create bonds with staffing and hiring managers to help us get to know each company's unique culture. Our hands-on approach increases productivity for everyone. Employers trim operational costs and reduce staff turnover by locating employees that accurately match their business requirements. Job candidates build stronger careers by receiving reliable job placements and constructive personal support. We service all of Southern California including Los Angeles, San Diego, Temecula and Orange County. Contact us for an introductory meeting. We look forward to getting to know you-and making your goals our own.",874203,Personnel Consultants,541612,Human Resources Consulting Services,50,"$5,693,000 ",employment,,
