"Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Neighborhood","Phone Number Combined","Website","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Actual","Location Sales Volume Actual"
"Fairway Technologies Inc","","","2355 Northside Dr","San Diego","CA","92108","Mission Valley East","(858) 454-4471","Fairwaytech.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"File Savers Data Recovery","","","9655 Granite Ridge Dr # 200","San Diego","CA","92123","Serra Mesa","(619) 618-1849","Filesaversdatarecovery.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Financial Database Svc Inc","","","1235 Harbor Blvd","San Diego","CA","92121","","(858) 526-8100","Fdbs.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Fogarty Consulting","Mark","Fogarty","1431 Mountain Meadow Dr","Oceanside","CA","92056","Peacock","(760) 643-1176","Fogartyconsulting.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00004","$571,000"
"Fusion Factor","Dhavin","Mehta","2172 Rocky Point Way","San Marcos","CA","92078","","(760) 940-4200","","737905","Computer Consultants","541512","Computer Systems Design Services","00005","$820,000"
"Geek Available","Rod","Pereira","3772 Clairemont Dr","San Diego","CA","92117","Bay Park","(858) 270-7043","Toshibarepairsandiego.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Gesoff","Gerald","Lightsey","3702 Southridge Way","Oceanside","CA","92056","Ocean Hills","(760) 631-1838","","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Healthfusion.Com Inc.","","","100 N Rios Ave","Solana Beach","CA","92075","Solana Beach","(858) 523-2120","Healthfusion.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Henfast Computing","Trevor","Henthorn","8639 Via Mallorca # A","La Jolla","CA","92037","La Jolla Village","(619) 992-8973","Henfast.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00001","$143,000"
"Ihs Radiology Med Group Inc","Ron","Woodward","150 W Washington St","San Diego","CA","92103","Hillcrest","(858) 658-6500","Imaginghealthcare.Com","801101","Physicians & Surgeons","621111","Offices Of Physicians (Exc Mental Health Specs)","00003","$647,000"
"Incendonet Inc","","","360 N El Camino Real # 2b","Encinitas","CA","92024","","(760) 944-7698","Incendonet.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Independent Security Evltrs","","","1325 Grand Ave","San Marcos","CA","92078","","(443) 270-2296","Securityevaluators.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Innfinity Inc","","","501 W Broadway # 500","San Diego","CA","92101","Marina","(619) 798-5915","Innfinity.Info","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"International Commercial Bus","","","8920 Activity Rd","San Diego","CA","92126","Miramar","(858) 684-3040","","738999","Business Services NEC","561990","All Other Support Services","00002","$211,000"
"Iron Mountain","","","5455 Kearny Villa Rd","San Diego","CA","92123","Kearny Mesa","(858) 576-9400","Ironmountain.Com","738923","Business Records & Documents-Storage","561499","All Other Business Support Services","00014","$1,477,000"
"Itsforbiz","","","3830 Valley Centre Dr","San Diego","CA","92130","Carmel Valley","Not Available","Itsforbiz.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Knowledgelake Inc","","","26932 Saint Andrews Ln","Valley Center","CA","92082","","(314) 898-0500","Knowledgelake.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Lascom Solutions","","","6363 Greenwich Dr","San Diego","CA","92122","University City","(858) 452-1300","Lascom.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Liberty Labs Custom Software","Sharon","Moxon","3245 University Ave # 1122","San Diego","CA","92104","North Park","(619) 284-8013","Libertylabs.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Lumen Vox","Edward","Miller","591 Camino DE LA Reina","San Diego","CA","92108","Mission Valley East","(858) 707-7700","Lumenvox.Com","737108","Computer-Software Developers","541511","Custom Computer Programming Services","00015","$2,140,000"
"Madison Research Corp","","","4810 Eastgate Mall","San Diego","CA","92121","University City","(770) 977-5393","Madisonresearch.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Main Officereaction Des","","","6440 Lusk Blvd","San Diego","CA","92121","Sorrento Valley","(858) 550-1920","Reactiondesign.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Mellmo","","","2002 Jimmy Durante Blvd","Del Mar","CA","92014","Del Mar","(858) 847-3272","Mellmo.Com","737298","Prepackaged Software","511210","Software Publishers","00004","$1,647,000"
"Mojix Inc","","","1857 Edgemont St","San Diego","CA","92102","South Park","(310) 479-5820","Mojix.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Nasoft USA Inc","","","5451 Avenida Encinas","Carlsbad","CA","92008","","(760) 410-1210","Nasoft.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Neubloc LLC","Zoran","Stalevski","10803 Thornmint Rd","San Diego","CA","92127","","(619) 578-2873","Neubloc.Us","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Nibbles & Bits Computer","Shawn","Longsdon","1605 Grand Ave # 1","San Marcos","CA","92078","","(760) 744-8222","Nbcisd.Com","737801","Computers-Service & Repair","811212","Computer & Office Machine Repair & Maintenance","00004","$611,000"
"Opencandy","","","121 Broadway","San Diego","CA","92101","Horton Plaza","(619) 269-6655","Opencandy.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Paysoft Inc","","","1502 Broadway","El Cajon","CA","92021","","(619) 758-3830","Paysoft.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"PDF Solutions Inc","Steven","Griffith","4225 Executive Sq # 520","La Jolla","CA","92037","University City","(858) 552-4485","Syntricity.Com","737206","Computer Software","511210","Software Publishers","00018","$7,409,000"
"Polaris Software","","","1928 Don Lee Pl","Escondido","CA","92029","Vineyard","(425) 823-4841","Polarisappliedsciences.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Pontis Research Inc","","","3525 Del Mar Heights Rd","San Diego","CA","92130","Carmel Valley","(858) 206-1539","Pontisresearch.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Power Analytics Corp","Michael J","Nark","10805 Rancho Bernardo Rd # 270","San Diego","CA","92127","","(858) 675-9211","","737206","Computer Software","511210","Software Publishers","00017","$6,997,000"
"Proquotes","Mike","Kelley","620 E Main St","El Cajon","CA","92020","","(619) 444-9201","","737102","Computer Programming Services","541511","Custom Computer Programming Services","00010","$1,427,000"
"Radeus Labs","Ray","Hayden","12720 Danielson Ct # A","Poway","CA","92064","","(858) 922-6419","Radeuslabs.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Routesmart Technologies Inc","","","3754 Vermont St","San Diego","CA","92103","Hillcrest","(619) 299-4804","Routesmart.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Salford Systems","","","4740 Murphy Canyon Rd","San Diego","CA","92123","Kearny Mesa","(619) 543-8880","Salford-Systems.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Salient Federal Solutions Inc","","","4000 Legato Rd","San Diego","CA","92122","","(858) 551-9322","Salientfed.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Silverwood Services & Tech","Marilyn","Bessler","6716 Bestwood Ct","San Diego","CA","92119","San Carlos","(619) 582-7871","Silverwoodst.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Software Juice Inc","","","30412 Cool Valley Highlands Rd","Valley Center","CA","92082","","(619) 867-4273","Softwarejuice.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Summit Associates Inc","","","13717 Shoal Summit Dr","San Diego","CA","92128","Carmel Mountain","(858) 674-5040","Summit-Associates.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Symitar Systems Inc","","","2621161 1619th","San Diego","CA","92108","","(619) 542-6700","Symitar.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Symitar Systems Inc","","","404 Camino Del Rio S # 200","San Diego","CA","92108","Mission Valley East","(619) 542-6700","Symitar.Com","737206","Computer Software","511210","Software Publishers","00018","$286,000"
"Sysintelli Inc","","","9520 Padgett St # 217","San Diego","CA","92126","Miramar","(858) 271-1600","Sysintelli.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Systems West LLC","Leon","Bodzin","11865 Rancho Bernardo Rd","San Diego","CA","92128","Rancho Bernardo","(858) 485-5494","Systemswest.Com","737298","Prepackaged Software","511210","Software Publishers","00004","$1,647,000"
"Terasoft Inc","Craig","Borghesani","1146 Oliver Ave","San Diego","CA","92109","Pacific Beach","(858) 581-6564","Terasoft.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00001","$143,000"
"Tracc Development","","","415 W Nutmeg St","San Diego","CA","92103","Park West","(619) 291-4605","Tracc.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Vektrex Electronic Systems Inc","","","70 S 35th St","San Diego","CA","92113","","(858) 558-8282","Vektrex.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Verint Witness Ent Solutions","","","7205 Estero Blvd","San Diego","CA","92109","","(858) 270-9955","","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Vision Infosoft Corp","","","16835 W Bernardo Dr","San Diego","CA","92127","Rancho Bernardo","(775) 327-4105","Visioninfosoft.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Warpiv Technologies Inc","Teresa","Hernandez","5230 Carroll Canyon Rd # 306","San Diego","CA","92121","Sorrento Valley","(858) 605-1646","Warpiv.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Webjuris","","","3609 Ingraham St","San Diego","CA","92109","Pacific Beach","(858) 483-1866","Webjuris.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Wy Technology","","","13139 Wanesta Dr","Poway","CA","92064","","(858) 748-1600","Wytechnology.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Xifin Inc","","","12225 E Camino Real Rea","San Diego","CA","92130","","(858) 793-5701","Xifin.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
