"Company Name","Address","City","State","ZIP Code","Neighborhood","Phone Number","Phone Number Combined","Website","Company Description","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Actual","Location Sales Volume Actual"
"Action Direct Marketing","2513 Folex Way","Spring Valley","CA","91978","","6702365","(619) 670-2365","Actionmarketingfl.Com","","874214","Marketing Consultants","541613","Marketing Consulting Services","00025","$2,847,000"
"Activ X Biosciences Inc","11025 N Torrey Pines Rd # 120","La Jolla","CA","92037","Torrey Pines","5585558","(858) 558-5558","Activx.Com","Established in 2001, ActivX Biosciences Inc. is an emerging biopharmaceutical company that discovers and develops small molecule drugs for major unmet medical needs. Based in La Jolla, Calif., it is a wholly-owned subsidiary of Kyorin Pharmaceutical Co. Ltd. The company uses its technology to identify target and off-target activities of drug candidates in the protein kinase and protease families with an initial focus on the areas of hematology, oncology, metabolic and inflammatory diseases. It has signed with pharma and biotech Companies and has received the Distinguished Scientist award.","873206","Research Service","541910","Marketing Research & Public Opinion Polling","00040","$0"
"Activation Therapeutics Inc","12255 El Camino Real # 250","San Diego","CA","92130","Carmel Valley","4361000","(858) 436-1000","Cardiumthx.Com","Tissue Repair Company is a biopharmaceutical firm that provides a range of tissue repair products. The company offers treatment services for various chronic diabetic wounds. It specializes in gene therapy, growth factor biology and tissue regeneration solutions. The company provides a variety of dermal wound repair services for diabetic, pressure and venous stasis ulcers. Tissue Repair Company also offers therapeutic angiogenesis services for peripheral arterial disease and cardiovascular ischemia. The company uses gene-activated matrix technology. It provides a range of orthopedic products for spine fusion, bone fracture and cartilage disorders. Tissue Repair Company administers various preclinical programs. Additionally, the company offers a variety of research and product development services.","873126","Biotechnology Products & Services","541714","Research-Devmnt In Biotechnology (Except Nanobio)","00040","$0"
"Active Motif","1914 Palomar Oaks Way # 150","Carlsbad","CA","92008","","4311263","(760) 431-1263","Activemotif.Com","","873101","Laboratories-Research & Development","541714","Research-Devmnt In Biotechnology (Except Nanobio)","00030","$0"
"Advance Brain Monitoring","2237 Faraday Ave # 100","Carlsbad","CA","92008","","7200099","(760) 720-0099","Advancedbrainmonitoring.Com","","873101","Laboratories-Research & Development","541714","Research-Devmnt In Biotechnology (Except Nanobio)","00030","$0"
"Advanced Test Eqpt Rentals","10401 Roselle St","San Diego","CA","92121","","5586500","(858) 558-6500","Atecorp.Com","","506341","Electronic Testing Equipment (Whls)","423610","Electrical Apparatus/Wiring Supls/Rel Equip Whlsrs","00030","$29,606,000"
"Agri Markets Inc","12120 Kear Pl","Poway","CA","92064","","5130330","(858) 513-0330","Agrimark.Net","","874820","Agricultural Consultants","541690","Other Scientific & Technical Consulting Services","00023","$2,523,000"
"Airx Utility Surveyors","2534 E El Norte Pkwy # C","Escondido","CA","92027","","4802347","(760) 480-2347","Airxus.Com","AIRX Utility Surveyors is a consulting and services company that provides potholing, utility locating and subsurface utility engineering services in Southern California. It offers project management, record research and drafting services. The company s potholing services include air vacuum excavation, visual observation, witness point setup, backfill and patching, as well as the documentation of depths and location of utilities. AIRX Utility Surveyors also provides subsurface utility engineering and underground television video inspection services. It additionally offers traffic control, surveying, concrete coring and storm drain inspection, cleaning and certification services. The company has ground penetrating radar and closed-circuit television locating camera equipment. AIRX Utility Surveyors operates a business development department. The company is certified by the Coalition of Southern California Public Agencies.","871313","Surveyors-City","541370","Surveying & Mapping (Except Geophysical) Services","00025","$2,489,000"
"Alpha Mechanical","4885 Greencraig Ln","San Diego","CA","92123","Kearny Mesa","2783500","(858) 278-3500","Alphamechanical.Com","Started in 1991, Alpha Mechanical Heating & Air serves as a full-service mechanical contractor. The firm offers a range of services that include plumbing, (heating, ventilation and air conditioning) HVAC, mechanical, hydronics, pipefitting, site utilities, controls, fire sprinklers and protection, engineering/ integration as well as drawing coordination. Based in San Diego, Calif., it caters to government, commercial, industrial and military clients. The firm maintains repairs and services all types of HVACR equipment, including Trane, Carrier, McQuay, York, Smardt and Turbocor.","356913","Sprinklers-Automatic-Fire-Manufacturers","333999","All Other Misc General Purpose Machinery Mfg","00040","$9,961,000"
"American Asphalt & Concrete","9011 Memory Ln","Spring Valley","CA","91977","","5898112","(619) 589-8112","Pavingsandiego.Com","","161106","Asphalt & Asphalt Products","237310","Highway Street & Bridge Construction","00022","$6,457,000"
"American Lighting","6861 Nancy Ridge Dr # C","San Diego","CA","92121","Sorrento Valley","5492324","(858) 549-2324","Americanlighting.Net","","871146","Lighting Engineers","541330","Engineering Services","00020","$0"
"American Retail Svc","2204 S El Camino Real # 314","Oceanside","CA","92054","Mira Costa","4333403","(760) 433-3403","Porters.Us.Com","","531102","Department Stores","452210","Department Stores","00020","$4,160,000"
"Ampli Phi Biosciences Corp","3579 Valley Centre Dr # 100","San Diego","CA","92130","Carmel Valley","8290829","(858) 829-0829","Ampliphibio.Com","Targeted Genetics Corporation is a biotechnology company committed to the development and commercialization of innovative-targeted molecular therapies for the prevention and treatment of inflammatory arthritis and other acquired and inherited diseases with significant unmet medical need. The company has capabilities in the development and manufacturing of gene delivery technologies to advance a diverse product development pipeline. Its clinical development programs target potential therapies for inflammatory arthritis and a vaccine for HIV/AIDS, as well as pre-clinical programs for congestive heart failure, Huntington s disease and hyperlipidemia. Targeted Genetics is one of the leading manufacturers of adeno-associated virus vectors. It has developed a proprietary manufacturing process that utilizes the same technology used to produce monoclonal antibodies and therapeutic proteins. Targeted Genetics Corporation is headquartered in Seattle.","283407","Laboratories-Pharmaceutical (Mfrs)","325412","Pharmaceutical Preparation Manufacturing","00000","$0"
"Anaptys Bio Inc","10421 Pacific Center Ct","San Diego","CA","92121","Sorrento Valley","3626295","(858) 362-6295","Anaptysbio.Com","","873126","Biotechnology Products & Services","541714","Research-Devmnt In Biotechnology (Except Nanobio)","00031","$0"
"Andrew & Williamson Sales Co","9940 Marconi Dr","San Diego","CA","92154","Otay Mesa","6616000","(619) 661-6000","Bajaclassic.Com","Andrew & Williamson Sales is a grower and shipper of fresh fruit and vegetables from Baja California, Mexico. The company maintains operations in the United States through its San Diego facilities. Andrew & Williamson Sales works with growers from Mexico to provide a constant supply of produce to its clients. The company reinvests portions of its revenues to research the climates and produce growth in the Baja California Peninsula. Andrew & Williamson Sales markets its products under the Berryland Strawberries, Strawberry Magic and Limited Edition labels. Andrew & Williamson Sales is affiliated with Primus Labs, which performs crew and facility audits for the company.","874808","Sales Counselors","541690","Other Scientific & Technical Consulting Services","00040","$4,388,000"
"Ansol","4250 Pacific Hwy # 208","San Diego","CA","92110","Midway District","5232040","(619) 523-2040","Ansolinc.Com","","738999","Business Services NEC","561990","All Other Support Services","00040","$4,218,000"
"Anti Cancer Inc","7917 Ostrow St","San Diego","CA","92111","Kearny Mesa","6542555","(858) 654-2555","Anticancer.Com","","873126","Biotechnology Products & Services","541714","Research-Devmnt In Biotechnology (Except Nanobio)","00035","$0"
"Applied Professional Training","1939 Palomar Oaks Way # A","Carlsbad","CA","92011","","9300298","(760) 930-0298","Aptc.Com","","824401","Schools-Business & Vocational","611410","Business & Secretarial Schools","00020","$0"
"ASEG Inc","6867 Nancy Ridge Dr # A","San Diego","CA","92121","Sorrento Valley","5500500","(858) 550-0500","Aseg.Com","","871133","Engineers-Professional","541330","Engineering Services","00049","$9,412,000"
"ASM Affiliates Inc","2034 Corte Del Nogal","Carlsbad","CA","92011","","8045757","(760) 804-5757","Asmaffiliates.Com","ASM Affiliates is a certified small business unit, specializing in archaeological and historical studies, compliant with local, state, and federal environmental requirements. The company offers a full range of cultural resource management services, including constraints feasibility analyses, overviews, predictive modeling, and field surveys. It also provides services, such as archaeological sampling and testing, archival studies, construction monitoring, data recovery, and preservation planning. Since its establishment in 1977, the firm has completed more than 3,000 cultural resource investigations for both private sector and public agency projects throughout California, Arizona, New Mexico, and Nevada. Its clients include local, state, and federal agencies, public utilities, construction and engineering firms, planners and developers. ASM Affiliates provides services in the area of customer relationship management and offers management-driven solutions to environmental resource issues.","873305","Historical Research","541720","Research & Devmnt-Social Sciences & Humanities","00030","$0"
"Aspen Risk Management Group","2727 Camino Del Rio S # 1","San Diego","CA","92108","Mission Valley East","2949863","(619) 294-9863","Aspenrmg.Com","The Aspen Risk Management Group provides a range of human resources consulting and training services. It serves clients in the hospitality, farming, construction, finance, insurance, automotive and retail industries. The veteran-owned company also offers risk management and group and individual coaching solutions. The Aspen Risk Management Group organizes presentations, seminars and workshops. Its clients include Asset Marketing Systems, Cal Neon, Elite Bobcat Service, K-Tube and CompWest.The company has a staff of more than 20 individuals.","874201","Business Management Consultants","541614","Process, Physical Distr/Logistics Consulting Svcs","00020","$2,278,000"
"Auroralight","2742 Loker Ave W # 100","Carlsbad","CA","92010","","9312910","(760) 931-2910","Auroralight.Com","","173101","Electric Contractors","238210","Electrical Contr & Other Wiring Installation Contr","00020","$2,881,000"
"Autofusion Inc","6215 Ferris Sq # 200","San Diego","CA","92121","Sorrento Valley","2709444","(858) 270-9444","Autofusion.Com","","811103","Attorneys","541110","Offices Of Lawyers","00020","$4,108,000"
"Automobile Club Of Southern Ca","2440 Hotel Cir N # 100","San Diego","CA","92108","Mission Valley West","2331000","(619) 233-1000","Aaa.Com","","869912","Automobile Clubs","561599","All Other Travel Arrangement/Reservation Services","00045","$0"
"Avrp Studios Inc","703 16th St # 200","San Diego","CA","92101","East Village","7042700","(619) 704-2700","Avrpstudios.Com","","871202","Architects","541310","Architectural Services","00025","$4,202,000"
"B 2 Be B2","851 Showroom Pl # 104","Chula Vista","CA","91914","Eastlake Business Center","7546814","(619) 754-6814","B2bewellness.Com","","874201","Business Management Consultants","541614","Process, Physical Distr/Logistics Consulting Svcs","00023","$2,619,000"
"Bergeraban","10525 Vista Sorrento Pkwy # 35","San Diego","CA","92121","Sorrento Valley","5660626","(858) 566-0626","Abam.Com","Founded in 1977, Flores Lund Consultants provides civil and structural engineering services for commercial and industrial clients throughout Southern California, Arizona, Nevada and New Mexico. It specializes in the construction of schools, colleges, universities, culverts, bridges, towers, tanks, theme parks, hospitals and medical facilities. The company additionally specializes in the installation of lift stations, drains and sanitary sewer collection systems. It offers project management, program administration, earthquake analysis, earth retention, shoring, excavation, sheet piling, underpinning, peer reviewing, forensic investigation and consulting services. The company also provides structural design solutions for various materials including steel, masonry, wood and concrete. It serves the hospitality, health care, educational and entertainment industries. The company s clients include Sea World, Hyatt Hotels, Marriott Corporation, Getty Museum and the United States Navy. Flores Lund Consultants is located in San Diego.","871137","Engineers-Structural","541330","Engineering Services","00027","$5,186,000"
"Biocom Institute","10996 Torreyana Rd # 200","San Diego","CA","92121","","4550300","(858) 455-0300","Califescienceworkforce.Com","","839998","Non-Profit Organizations","813319","Other Social Advocacy Organizations","00020","$0"
"Biopharma Scientific Inc","2575 Pioneer Ave # 108","Vista","CA","92081","","6229493","(858) 622-9493","Biopharmasci.Com","","873126","Biotechnology Products & Services","541714","Research-Devmnt In Biotechnology (Except Nanobio)","00020","$0"
"Biosources Inc","5755 Oberlin Dr # 108","San Diego","CA","92121","Sorrento Valley","7528722","(858) 752-8722","Biosourcesinc.Com","","874201","Business Management Consultants","541614","Process, Physical Distr/Logistics Consulting Svcs","00020","$2,278,000"
"Biotech Solutions Plus","2131 Las Palmas Dr","Carlsbad","CA","92011","","4384928","(760) 438-4928","Biotechsolutionsplus.Com","","873108","Pharmaceutical Research Laboratories","541715","Research & Devmnt-Physical Engineering Life Sci","00048","$0"
"Biotix Inc","9880 Mesa Rim Rd","San Diego","CA","92121","Mira Mesa","8757696","(858) 875-7696","Biotix.Com","Biotix is a manufacturer of laboratory consumables and developer of liquid handling technologies that provide advances for life science applications. It offers manual tips that are precision-molded in a controlled environment, assembled using automated processes and monitored through the manufacturing process. The company s products utilize the Blade technology, which minimizes fluid retention. Biotix s products comply with the regulations of the International Organization for Standardization. It is a part of Pelican Life Sciences Company.","873211","Researchers-Independent","541910","Marketing Research & Public Opinion Polling","00032","$0"
"Bizx","5830 Oberlin Dr # 200","San Diego","CA","92121","Sorrento Valley","4545900","(858) 454-5900","Virtualcapecod.Com","Established in mid-1990s, Bizx, LLC owns and publishes scores of popular Web sites in multiple industries, serving both site viewers and site advertisers. Based in California, the firm provides search engine optimization and search engine rank improvement services to clients operating in travel, tourism, telecom, Voice over Internet Protocol (VIOP) and health / wellness sectors. Bizx, LLC initially served the travel and tourism sector clients and later diversified into other business areas. Its travel initiative provides a professional, high-traffic online local venue in which the hotels, resorts, vacation rental companies, tour / sightseeing operators, nightlife spots, entertainment acts, shows, theaters, real estate agents, transportation companies, wedding service providers and others can directly advertise their services, immediately reach potential customers and get results through increased occupancy and sales.","872102","Accounting & Bookkeeping General Svc","541219","Other Accounting Services","00030","$4,277,000"
"Bradley Builders Inc","1414 Kona Kai Ln","Escondido","CA","92029","West Ridge","7490990","(760) 749-0990","Bradleybuildersinc.Com","Established in 1991, Bradley Builders is a contracting company that offers a range of roofing services. The company provides a variety of fire-resistant and metal roofs. It serves various clients in the residential sector. The company provides roofs from Classic Products in a selection of styles and colors. Additionally, it offers residential reroofing services.","152112","Home Builders","236115","New Single-Family Hsng Constr (Exc For-Sale Bldrs)","00024","$7,991,000"
"Brainstorm LLC","1011 S Andreasen Dr # 100","Escondido","CA","92029","Vineyard","8711135","(760) 871-1135","Xkites.Com","","874806","Product Design/Development Consultants","541690","Other Scientific & Technical Consulting Services","00030","$3,291,000"
"Bravo Three","8400 N Magnolia Ave # N","Santee","CA","92071","","3280671","(619) 328-0671","Bravothree.Com","","738102","Security Guard & Patrol Service","561612","Security Guards & Patrol Services","00030","$1,799,000"
"Brian Tracy Intl","462 Stevens Ave # 202","Solana Beach","CA","92075","Solana Beach","4367300","(858) 436-7300","Briantracy.Com","","596102","Internet & Catalog Shopping","454110","Electronic Shopping & Mail-Order Houses","00025","$9,518,000"
"Bulldog Drummond Inc","655 G St # B","San Diego","CA","92101","Core-Columbia","5288404","(619) 528-8404","Bulldogdrummond.Com","Bulldog Drummond offers a variety of design planning and promotional services for various brands. It provides account management and planning, apparel and advertising design and association marketing services. The company also offers brand equity development, planning and positioning services. Bulldog Drummond provides banner advertising, catalog design and production and copywriting services. It offers broadcast production services for various television channels and radio stations. The company provides collateral design and production, corporate identity and content creation services. It additionally offers corporate and promotional videos production and creative services.","731101","Advertising-Agencies & Counselors","541810","Advertising Agencies","00025","$1,816,000"
"Burkett & Wong Engineers","9449 Balboa Ave # 270","San Diego","CA","92123","Kearny Mesa","2921461","(858) 292-1461","Bwesd.Com","","871137","Engineers-Structural","541330","Engineering Services","00026","$4,994,000"
"Burtech Pipeline","102 2nd St","Encinitas","CA","92024","","6342822","(760) 634-2822","Burtechpipeline.Com","Burtech pipeline, a general engineering firm, specializes in the installation of water, sewer and storm drain pipelines. The company offers value engineering, budgetary conceptual estimating and customer service. Its list of projects include Arroyo Vista, the Hamptons, Alexandria, San Diego Hills, Getway View, Kelly Ranch, Cardiff Sewer, Richland Estates, Geyserville Street and Eastlake Village Marketplace. Equipment utilized by the company include excavator, loader, type tractor, dump truck and trailer, water truck, jobsite trailers, air compressors and tools. Burtech pipeline serves the Greater San Diego County and is headquartered in Encinitas, Calif.","871105","Contractors-Engineering General","541330","Engineering Services","00020","$3,842,000"
"Business To Business Marketing","630 Ash St","San Diego","CA","92101","Core-Columbia","8815300","(619) 881-5300","Biz2bizmarketing.Com","Business to Business Marketing is a direct marketing firm that employs strategic outbound calling campaigns to help clients increase revenue and experience measurable growth. The company designs direct marketing campaigns, complimenting other marketing programs of its clients, such as advertising, direct mail, online events, tradeshows and seminars. It offers a variety of services to help its clients meet sales and marketing goals. Its services include lead generation, telesales, market research and surveys, inbound services, event invitations, seminars, market penetration studies, collateral design, production and fulfillment, lead generation, sales consulting and training and database research, selection and licensing. Business to Business Marketing is located in San Diego.","874214","Marketing Consultants","541613","Marketing Consulting Services","00030","$3,416,000"
"Businessonline","701 B St # 1000","San Diego","CA","92101","Core-Columbia","6990767","(619) 699-0767","Businessol.Com","BusinessOnline is an interactive marketing company with a 14-year track record of leveraging the power of the Internet to help clients grow. Our intense focus on developing a deep understanding of user needs, gives us powerful user insights that can be leveraged to achieve strategic goals for our clients. And because we have been exclusively in the online space for all these years, our knowledge pool is deeper. BusinessOnline has a cross-functional team of industry experts that are able to integrate search engine marketing (SEO, PPC), social media, user-experience, web design and development, and analytics into cohesive and measureable strategies that attract, engage, and drive consumers toward desired actions. We cannot stress that last part enough. Unless your customers actually DO something - something you want them to do - it's all a pointless exercise. And we make sure they do something in a way that ties directly back to your key business objectives. The definition of marketing success is different for every business. But, if there's one thing we've learned from working with thousands of clients - of all sizes, in all categories and markets - is that it all comes down to results. Our process begins with understanding your customers (can't overstate that), your competitors, your challenges, resources (both human and financial) and, most importantly, how you define success. At BusinessOnline, we take a truly integrated approach to your online presence, pulling in the right mix of experts - search marketing,, social media, and analytics - then we make sure we're all pursuing the same goal. We don't just launch a website, campaign or program, then stand back and hope it works. One thing we've learned is you're never done. Nothing's ever completed. So we're constantly measuring results and tracking your customer's behavior to improve results over time. We're always learning about your business and customers, and we're putting what we learn to use, to get better results. There's always something new to learn, if you're willing to find out what it is. 'With the help of BusinessOnline, we set aggressive goals and built a plan to achieve them. Once implemented, their recommendations enabled us to realize amazing results - we were able to prove marketing ROI through substantial increases in revenue, a reduction in user related service issues, and a boost in traffic for partners. ' - Rachelle Deal, VP of Marketing, American Council on Exercise","737415","Internet Service","518210","Data Processing, Hosting & Related Services","00037","$8,901,000"
"California Center-Sustainable","9325 Sky Park Ct # 100","San Diego","CA","92123","Kearny Mesa","2441177","(858) 244-1177","Energycenter.Org","","874824","City Regional & Town Planners","541320","Landscape Architectural Services","00040","$4,388,000"
"Campbell Certified Inc","1629 Ord Way","Oceanside","CA","92056","Peacock","8425226","(760) 842-5226","Campbellcertified.Com","Established in 1991, Campbell Certified is a full-service company that manufactures structural and architectural steel. It specializes in commercial, industrial and large distribution projects and serves throughout Southern California. Campbell Certified offers construction solutions for frames, columns, beams, braces, girders, trusses, joists, screens and walls. It provides value engineering, on-site detailing, and design and build services. The company has completed projects, such as Tustin Library and Loma Alta Village in California.","872101","Accountants","541211","Offices Of Certified Public Accountants","00020","$2,851,000"
"Cannon Pacific Svc","285 Pawnee St # A","San Marcos","CA","92078","","4719003","(760) 471-9003","Pacificstreetsweeping.Com","Established in 1962, Cannon Pacific Services Inc. is a provider of sweeping services to San Diego and Southern California counties. Based in San Marcos, Calif., the company renders a range of services, including state highway sweeping, debris hauling, erosion control and catch basin/storm drain cleaning. It provides services at police stations, fire stations, utility/power stations and government establishments, to name a few. Cannon Pacific Services Inc. has affiliation with the Better Business Bureau (BBB), North American Power Sweeping Association (NAPSA), American Public Workers Association (APWA) and Maintenance Superintendents Association (MSA).","873111","Environmental & Ecological Services","541714","Research-Devmnt In Biotechnology (Except Nanobio)","00026","$0"
"Cass Construction Inc","1100 Wagner Dr","El Cajon","CA","92020","","5900929","(619) 590-0929","Cassconstruction.Com","Cass Construction is a family-owned company, established in 1974 as a general engineering contractor. Its operations include grading, sewer, water, storm drain, concrete structures, pump stations, and other specialty areas of construction. The firm performs work for public agencies and private industry. It specializes in pipeline installations for large home subdivisions to complex municipal replacement projects. Its dry utilities division specializes in commercial and residential subdivision installations. The firm s structural concrete division provides drainage structures, culverts, trapezoidal channels, cast-in-place retaining walls, storm drain outlets, and concrete pump stations. The firm is a member of the Building Industry Association of Southern California and Associated Builders and Contractors. Cass Construction has branch locations in El Cajon and Perris, Calif.","871106","Engineers","541330","Engineering Services","00035","$6,723,000"
"Cass Sowatsky Cslt Arc","3569 5th Ave","San Diego","CA","92103","Hillcrest","2983480","(619) 298-3480","Ejca.Com","","871202","Architects","541310","Architectural Services","00025","$4,202,000"
"Castle Breckenridge Management","5185 Comanche Dr # D","La Mesa","CA","91942","","6973191","(619) 697-3191","Alpinecountryvillage.Com","","874201","Business Management Consultants","541614","Process, Physical Distr/Logistics Consulting Svcs","00026","$2,961,000"
"Ceatus Marketing Inc","4141 Jutland Dr # 215","San Diego","CA","92117","Bay Ho","4545505","(858) 454-5505","Ceatus.Com","","874213","Marketing Programs & Services","541613","Marketing Consulting Services","00030","$684,000"
"Ceatus Media Group LLC","4141 Jutland Dr # 215","San Diego","CA","92117","Bay Ho","4545505","(858) 454-5505","Ceatus.Com","","874214","Marketing Consultants","541613","Marketing Consulting Services","00035","$3,985,000"
"Celula Inc","11011 Torreyana Rd # 200","San Diego","CA","92121","Torrey Pines","8758800","(858) 875-8800","Celula-Inc.Com","","873126","Biotechnology Products & Services","541714","Research-Devmnt In Biotechnology (Except Nanobio)","00020","$0"
"Centara Capital Management","4747 Executive Dr # 450","San Diego","CA","92121","La Jolla Commons","3981700","(619) 398-1700","Centarasecurities.Com","Centara Capital Management Group Inc. is a wealth management firm that coordinates the expertise of in-house CFP professionals, CPAs and Attorneys to serve the distinct planning needs of affluent families. The company is an SEC registered Investment Advisor. Centara Capital Management Group Inc. provides comprehensive wealth management services to more than 1,200 clients through its financial and tax planning divisions. Some of its services include investments, tax consulting, estate planning and financial planning. The company provides estate planning services through Centara Legal Group, APC.","628203","Financial Advisory Services","523930","Investment Advice","00020","$6,599,000"
"Centra Med","2714 Loker Ave W # 200","Carlsbad","CA","92010","","4760077","(760) 476-0077","Centramed.Co","","872103","Billing Service","541219","Other Accounting Services","00028","$0"
"Challenge Electric Corp","285 Vernon Way","El Cajon","CA","92020","","4470462","(619) 447-0462","Challengeelectriccorp.Com","","173101","Electric Contractors","238210","Electrical Contr & Other Wiring Installation Contr","00020","$2,881,000"
"Charles Abbot Assoc","27315 Valley Center Rd","Valley Center","CA","92082","","7498722","(760) 749-8722","Wynnengineering.Com","","874201","Business Management Consultants","541614","Process, Physical Distr/Logistics Consulting Svcs","00022","$2,505,000"
"Chassis Plans Rugged Military","10123 Carroll Canyon Rd","San Diego","CA","92131","Scripps Ranch","5714330","(858) 571-4330","Chassis-Plans.Com","Chassis Plans is a recognized leader in manufacturing fully configured turn-key rugged industrial and military rackmount computer systems and transit case and rack system integration for the industrial computer, rugged rackmount computer, and military computer markets. We domestically manufacture rugged 1U to 6U Motherboard and Single Board Computer rackmount systems tailored exactly to customer application requirements. We also manufacture a full line of industrial and military rack mount and panel mount LCD display monitors and LCD keyboard drawers.   Chassis Plans specializes in long-life rack mount military industrial computer product support offering unmatched in-house custom rackmount computer design, long-life industrial motherboards and Single Board Computers with strict revision control and material obsolescence management for trouble free program deployment.      Markets served include field deployed rugged transit case systems for military and industrial applications, simulation systems, mobile systems for ground vehicle, ship board and airborne environments, oil and gas, and similar harsh applications. We have deployed systems into such diverse installations as battle fields to clean rooms and everything in between.     Key military customers include companies such as L3, Lockheed, and Northrop Grumman. Notable commercial customers include Siemens, Nikon, & General Electric. Chassis Plans' Systems are Engineered to Perform!(R)","999966","Federal Government Contractors","999990","Unclassified Establishments","00043","$0"
"Chemical Diversity","6605 Nancy Ridge Dr","San Diego","CA","92121","Sorrento Valley","7944860","(858) 794-4860","Chemdiv.Com","ChemDiv Inc. is a fully integrated discovery and development contract research organization (CRO) located in San Diego, Calif., with subsidiaries in Russia and Ukraine. It has expertise in rational drug design, synthetic and medicinal chemistry in various therapeutic areas. With business and logistics operations around the world, the company collaborates with pharmaceutical and biotech partners by enabling them to accelerate research and development programs to higher value clinical inflection points. ChemDiv Inc. has partnerships with Novartis, Bayer CropScience, Genentech Inc., Sanofi-aventis and many more.","599919","Chemicals-Retail","453998","All Other Misc Store Retailers (Exc Tobacco Strs)","00040","$6,626,000"
"Chemtron Biotech Inc","9245 Brown Deer Rd # A","San Diego","CA","92121","Sorrento Valley","4500044","(858) 450-0044","Uschemtronbio.Com","","873126","Biotechnology Products & Services","541714","Research-Devmnt In Biotechnology (Except Nanobio)","00020","$0"
"CIC Research Inc","8361 Vickers St","San Diego","CA","92111","Kearny Mesa","6374000","(858) 637-4000","Cicresearch.Com","CIC Research is a full-service marketing, economics and survey research firm, located in a 15,000-square-foot facility in San Diego, Calif. It has a strong in-house professional staff, providing expertise in the areas of marketing, economic, land use, financial analysis, survey design, data collection, coding, custom data processing, travel, tourism and events research, and full-service quantitative research. It performs its services on a noncontingency fixed-fee basis, which ensures impartial data collection and analysis. Its clients include large corporations, private firms, as well as for federal, state and local government agencies. CIC Research s staff uses nationally known and accepted statistical software packages to provide data analysis for studies.","873204","Market Research & Analysis","541910","Marketing Research & Public Opinion Polling","00040","$0"
"Community Research Foundation","1202 Morena Blvd # 300","San Diego","CA","92110","Morena","2750822","(619) 275-0822","Comresearch.Org","","873206","Research Service","541910","Marketing Research & Public Opinion Polling","00040","$0"
"Complete Pension Svc","5628 Copley Dr","San Diego","CA","92111","Kearny Mesa","5037710","(858) 503-7710","Sdpension.Com","","637102","Pension & Profit Sharing Plans","525110","Pension Funds","00020","$22,704,000"
