ranking,company,first_name,last_name,address,city,state,zip,neighborhood,phone,website,email,short_description,description,sic,sic_description,naics,naics_description,employees,revenue,tags,notes,username
,AEMI USA,,,9311 Stevens Rd,Santee,CA,92071,,(619) 449-9492,Mvg-Emc.Com,,,"Established in 1980, Advanced Electromagnetics is one of the leaders in the design, supply and installation of absorbing materials for the military, aerospace, satellite and communications industries. It specializes in manufacturing absorbers and anechoic chambers for antenna and microwave test ranges and other specialty applications. The company offers a range of standard products used from 30 MHz to 100 GHz for anechoic facilities. These facilities provide a test environment for electromagnetic interference control, compatibility, radar cross section and general purpose antenna measurement capabilities. Advanced ElectroMagnetics is a subsidiary of ORBIT/FR, one of the leading suppliers of antenna measurement systems. Advanced Electromagnetics is located in Santee, Calif.",382598,Instrs-Measuring/Testing Elec (Mfrs),334515,Electricity & Signal Testing Instruments,23,$0 ,,,
,Aker Leather Products,,,2248 Main St # 6,Chula Vista,CA,91911,Otay Town,(619) 423-5182,Akercustom.Com,,,,317202,Leather Goods-Manufacturers,316998,All Other Leather Good & Allied Product Mfg,22,"$1,222,000 ",,,
,Alarms Unlimited,,,4584 Park Blvd,San Diego,CA,92116,University Heights,(619) 297-4500,Auiss.Com,,,"Founded in 1947 and located in San Diego, Alarms Unlimited is one of the leading providers of security solutions throughout the state of California. The company provides a wide range of services, including system integration, video systems, gates and operators, custom residential systems, commercial alarm systems, and central station. Its access control systems include door control and accountability, elevator control, card reader technologies, automatic door lock and unlock, alarm integration, and report programming and monitoring services. Alarms Unlimited is an authorized dealer for various manufacturers, such as Lenel Systems International, Radionics, Pelco, Ademco, Digital Monitoring Products, Honneywell International, and Sims Automation. The company is a member of California Alarm Association, American Society Industrial Security, Better Business Bureau, and Burglar and Fire Alarm Association of San Diego.",366906,Burglar Alarm Systems & Monitoring-Mfrs,334290,Other Communications Equipment Manufacturing,28,"$5,469,000 ",,,
,All In One Manufactiring,,,9600 Kearny Villa Rd,San Diego,CA,92126,Miramar,(858) 695-0427,New.Allinoneline.Com,,,"Located in San Diego, All-In-One is one of the leading promotional products distributors and provides various specialty products. The company specializes in technology products, such as personal computers, mouse and mouse pads, memory sticks, MP3 players, Web keys, memory card reader, Bluetooth headsets, power pointer, WiFinder, flash drives, and mini speakers.  It also offers various other specialty products, such as drinkware, flashlights, golf equipment, health products, key tags, magnets, mints, thermometers, writing tools, automotive, bottle openers, carabiners, and office products. All-In-One provides various recreational and stress products, including stress card, stadium cups, golf caddie, and flyers. The company offers production and shipping services through FedEx.",731919,Advertising-Promotional,541890,Other Services Related To Advertising,45,"$3,659,000 ",,,
,Allermed Laboratories Inc,,,7203 Convoy Ct,San Diego,CA,92111,Kearny Mesa,(858) 292-1060,Allermed.Com,,,,283601,Biological Products (Mfrs),325414,Biological Product (Except Diagnostic) Mfg,30,"$36,225,000 ",,,
,Allgire General Contrs Inc,,,3278 Grey Hawk Ct,Carlsbad,CA,92010,,(760) 431-2999,Allgire.Com,,,,152103,General Contractors,236115,New Single-Family Hsng Constr (Exc For-Sale Bldrs),35,"$11,653,000 ",,,
,Alliance Tags,,,9235 Trade Pl # A,San Diego,CA,92126,Miramar,(858) 549-7297,Alliancetag.Com,,,,267101,Packaging Materials-Manufacturers,322220,Paper Bag & Coated & Treated Paper Manufacturing,20,"$4,529,000 ",,,
,Alpha Mechanical,,,4885 Greencraig Ln,San Diego,CA,92123,Kearny Mesa,(858) 278-3500,Alphamechanical.Com,,,"Started in 1991, Alpha Mechanical Heating & Air serves as a full-service mechanical contractor. The firm offers a range of services that include plumbing, (heating, ventilation and air conditioning) HVAC, mechanical, hydronics, pipefitting, site utilities, controls, fire sprinklers and protection, engineering/ integration as well as drawing coordination. Based in San Diego, Calif., it caters to government, commercial, industrial and military clients. The firm maintains repairs and services all types of HVACR equipment, including Trane, Carrier, McQuay, York, Smardt and Turbocor.",356913,Sprinklers-Automatic-Fire-Manufacturers,333999,All Other Misc General Purpose Machinery Mfg,40,"$9,961,000 ",,,
,American Bathtub Refinishers,,,3085 54th St,San Diego,CA,92105,Oak Park,(619) 265-9200,Americanbathtub.Com,,,,769985,Bathtubs & Sinks-Repairing & Refinishing,811490,Other Personal & Household Goods Repair & Maint,20,"$2,431,000 ",,,
,American Lighting,,,6861 Nancy Ridge Dr # C,San Diego,CA,92121,Sorrento Valley,(858) 549-2324,Americanlighting.Net,,,,871146,Lighting Engineers,541330,Engineering Services,20,$0 ,,,
,Ampli Phi Biosciences Corp,,,3579 Valley Centre Dr # 100,San Diego,CA,92130,Carmel Valley,(858) 829-0829,Ampliphibio.Com,,,"Targeted Genetics Corporation is a biotechnology company committed to the development and commercialization of innovative-targeted molecular therapies for the prevention and treatment of inflammatory arthritis and other acquired and inherited diseases with significant unmet medical need. The company has capabilities in the development and manufacturing of gene delivery technologies to advance a diverse product development pipeline. Its clinical development programs target potential therapies for inflammatory arthritis and a vaccine for HIV/AIDS, as well as pre-clinical programs for congestive heart failure, Huntington s disease and hyperlipidemia. Targeted Genetics is one of the leading manufacturers of adeno-associated virus vectors. It has developed a proprietary manufacturing process that utilizes the same technology used to produce monoclonal antibodies and therapeutic proteins. Targeted Genetics Corporation is headquartered in Seattle.",283407,Laboratories-Pharmaceutical (Mfrs),325412,Pharmaceutical Preparation Manufacturing,0,$0 ,,,
,Amtech Lighting Svc,,,13350 Gregg St # 101,Poway,CA,92064,,(858) 748-5077,Abm.Com,,,,364501,Lighting Equipment-Manufacturers,335121,Residential Electric Lighting Fixture Mfg,45,"$9,619,000 ",,,
,Anderson Chamberlain Inc,,,4649 Morena Blvd,San Diego,CA,92117,Bay Ho,(858) 270-3025,Adww.Com,,,,514102,Food Brokers (Whls),425120,Wholesale Trade Agents & Brokers,20,"$34,142,000 ",,,
,Anti Cancer Inc,,,7917 Ostrow St,San Diego,CA,92111,Kearny Mesa,(858) 654-2555,Anticancer.Com,,,,873126,Biotechnology Products & Services,541714,Research-Devmnt In Biotechnology (Except Nanobio),35,$0 ,,,
,Applied Biosystems Inc,,,5791 Van Allen Way,Carlsbad,CA,92008,,(770) 829-8140,Appliedbiosystems.Com,,,,382698,Laboratory Analytical Instruments (Mfrs),334516,Analytical Laboratory Instrument Manufacturing,25,"$5,502,000 ",,,
,Applied Control Concepts Inc,,,1209 Activity Dr,Vista,CA,92081,,(760) 931-1031,Acc-Sd.Com,,,,357101,Computers-Electronic-Manufacturers,334111,Electronic Computer Manufacturing,20,"$13,504,000 ",,,
,Approved Gas Masks,,,PO Box 9509,San Diego,CA,92169,,(301) 931-6700,Approvedgasmasks.Com,,,,384219,Masks-Protective (Mfrs),339113,Surgical Appliance & Supplies Manufacturing,47,"$19,113,000 ",,,
,Apricus Biosciences Inc,,,11975 El Camino Real # 300,San Diego,CA,92130,Carmel Valley,(858) 222-8041,Apricusbio.Com,,,"Backed by NexMed, USA and Bio-Quant, Inc., its revenue generating CRO business, Apricus Biosciences has leveraged the flexibility of its proven NexACT drug delivery technology to enable multi-route administration of new and improved compounds across numerous therapeutic classes. Future growth is expected to be driven primarily through out-licensing of this technology for the development and commercialization of such compounds to pharmaceutical and biotechnology companies, worldwide. Concurrently, the company is seeking to monetize its existing product pipeline, including its approved drug erectile dysfunction treatment, Vitaros, as well as compounds in development from pre-clinical through Phase 3, currently focused on dermatology, sexual dysfunction and cancer.",283401,Drug-Manufacturers,325412,Pharmaceutical Preparation Manufacturing,21,$0 ,,,
,Apricus Pharma Inc,,,11975 El Camino Real # 300,San Diego,CA,92130,Carmel Valley,(858) 222-8041,Apricuspharma.Com,,,,283401,Drug-Manufacturers,325412,Pharmaceutical Preparation Manufacturing,28,$0 ,,,
,APS Technology Group Inc,,,3949 Ruffin Rd # A,San Diego,CA,92123,Kearny Mesa,(858) 836-7990,Abb.Com,,,,356907,Automation Systems & Equipment-Mfrs,333999,All Other Misc General Purpose Machinery Mfg,30,$0 ,,,
,Aqua Logic Inc,,,9558 Camino Ruiz,San Diego,CA,92126,Miramar,(858) 935-6980,Aqualogicinc.Com,,,,399903,Manufacturers,339999,All Other Miscellaneous Manufacturing,20,"$5,988,000 ",,,
,Astro Converters Inc,,,155 Mata Way # 101,San Marcos,CA,92069,,(760) 752-1515,Astropaper.Com,,,"Astro Converters supplies paper in a wide assortment of colors and finishes. It offers various brands of paper that include Furniture Weave, Architecture Diffused and Painting Canvas. The company stocks Gilbert Esse line of paper in textured colors and pearlized smooth colors. It also offers the Astrobrights brand of paper in various shades, including green, purple, teal and vulcan green. Additionally, the company supplies announcement envelops in various textures and sizes. Astro Converters also provides mica-coated paper in various sizes. The company offers papers for business cards and letterhead boxes.",261101,Paper Converters (Mfrs),322130,Paperboard Mills,27,"$26,278,000 ",,,
,Auspex Pharmaceuticals Inc,,,3333 N Torrey Pines Ct # 400,La Jolla,CA,92037,Torrey Pines,(858) 558-2400,Auspexpharma.Com,,,,283407,Laboratories-Pharmaceutical (Mfrs),325412,Pharmaceutical Preparation Manufacturing,35,$0 ,,,
,Aztec Washer Co Inc,,,13821 Danielson St,Poway,CA,92064,,(858) 513-4350,Gmodules.Com,,,"Aztec Washer Company started in 1967 with only a few local distributors and several orders. The ensuing nearly 40 years have seen the market for bonded washers grow and saw Aztec also grow to a prominent position in the marketplace, with its international distributor network numbering in the thousands. The company s products include Retro Master Flash, Master Flash, Master Seal, Residential Master Flash, Master Plug and rubber washers. All of the company s products come in a variety of colors, including red, gray, light green, dark green, blue, off-white, blue-gray, white and copper. Aztec Washer Company has its corporate headquarters in Poway, Calif., with additional operations in the United Kingdom, Germany, Finland, Poland and Mexico.",345298,Bolts Nuts Screws Rivets/Washers (Mfrs),332722,"Bolt, Nut, Screw, Rivet & Washer Manufacturing",20,"$2,792,000 ",,,
,Barrel Service Co,,,105 S Pacific St,San Marcos,CA,92078,,(760) 744-2122,Barrelservice.Com,,,,359903,Machine Shops (Mfrs),332710,Machine Shops,30,"$3,480,000 ",,,
,Batu Biologics Inc,,,9255 Towne Centre Dr # 450,San Diego,CA,92121,University City,Not Available,Batubiologics.Com,,,,283404,Drug Millers (Mfrs),325412,Pharmaceutical Preparation Manufacturing,43,"$71,733,000 ",,,
,Beacon Electric Supply,,,9630 Chesapeake Dr # A,San Diego,CA,92123,Kearny Mesa,(858) 503-7100,Beaconelectric.Com,,,"Beacon Electric Supply has been providing electric products and supplies for more than 20 years. It offers a wide range of products, such as batteries, boxes, conduit products and fittings, dimming and lighting control products, fasteners, fuses and emergency products. The company also offers a variety of other products that include smoke alarms, motion sensors, lamps, timers and photo controls, tools and testing equipment and wiring devices. The company operates through various departments, such as purchasing, project management, sales, marketing, accounts payable and administration. It works in association with the Imark Marketing Group and the National Association of Electrical Distributors. Beacon Electric Supply is located in San Diego.",506330,Electric Equipment & Supplies-Wholesale,423610,Electrical Apparatus/Wiring Supls/Rel Equip Whlsrs,40,"$39,475,000 ",,,
,Bee International,,,2311 Boswell Rd # 1,Chula Vista,CA,91914,Eastlake Business Park,(619) 710-1800,Beeinc.Com,,,"Bee International is one of the leading companies in the United States, manufacturing confectionary items. Established in 1960, Bee designs, develops, imports and distributes novelty candies across the world. The company offers a wide variety of products, such as candy rolls, crunch winter cabin, dreidel tube, jelly snowballs, Nestle Crunch tin flag, Santa Myo jewelry kit and spree tin bulb ornament. It also offers Easter jewelry sets, jelly doughnuts, sweetart egg tin, love beads bunny pops, American junk food gummy, fun fangs, oozing eyeballs, balloons, aloha coin gums, candy rings, bracelets and watches and valentines products. Bee International is located in San Diego.",509905,Importers (Whls),423990,Other Miscellaneous Durable Goods Merchant Whlsrs,30,"$30,244,000 ",,,
,Bel Fuse Inc,,,4901 Morena Blvd,San Diego,CA,92117,Bay Ho,(858) 676-9650,Belfuse.Com,,,,367501,Electronic Capacitor (Mfrs),334416,Capacitor/Resistor/Coil/Trnsfrmr-Other Indctr Mfg,30,"$3,575,000 ",,,
,Binding Site,,,6730 Flanders Dr # 100,San Diego,CA,92121,Mira Mesa,(858) 453-9177,Us.Bindingsite.Com,,,"Binding Site specializes in the research, development and production of immunodiagnostic kits and reagents for use in the investigation of human and veterinary diseases. The first commercial kit for the measurement of human IgG subclass levels were developed at the Binding Site laboratories in 1984 and used by researchers around the world to gain a better understanding of the role of IgG subclasses in health and disease. In 1988, the kits were recommended for in-vitro diagnostic use' in the United States and Binding Site moved into the field of clinical diagnostics. The company has expanded and refined its product range and now manufactures more than 1,000 clinical and research use products. The company s products are used by immunologists in more than 70 countries and its antisera production has increased to thousands of liters. Binding Site is located in San Diego, Calif.",283601,Biological Products (Mfrs),325414,Biological Product (Except Diagnostic) Mfg,35,"$42,262,000 ",,,
,Carpenter Rigging,,,2380 Main St,San Diego,CA,92113,Barrio Logan,(619) 233-5625,Carpenterriggingsj.Com,,,"American Rigging, located in San Diego, is part of The Carpenter Group, and offers one of California's largest inventories of rigging and material handling supplies, and fabrication facilities. American Rigging serves the construction, maritime, utility, transportation, industrial and government markets. The Carpenter Group offers quality wire ropes, wire rope slings, wire rope assemblies, Twin-Path high-performance fiber slings and rigging products. It also provides rigging lofts and manufactures flat web nylon slings, polyester round slings and welded alloy chain slings. The company has been supplying quality rigging products to California, Arizona, Nevada and Washington for more than 50 years. The Carpenter Group is a member of Associated Wire Rope Fabricators, Associated General Contractors, Association of Crane and Rigging Professionals, and Engineering Contractors Association.",508479,Riggers' Equipment & Supplies (Whls),423830,Industrial Machinery & Equipment Merchant Whlsrs,25,"$28,548,000 ",,,
,CBS Scientific Co Inc,,,10805 Vista Sorrento Pkwy # 10,San Diego,CA,92121,Sorrento Valley,(858) 755-4959,Cbsscientific.Com,,,"For more than 30 years C.B.S. Scientific Company has been a manufacturer of electrophoresis equipment and scientific instruments. Every product is engineered for versatility, optimal performance and ease of use. A variety of products and selection of accessories allow the researcher to perform existing applications or easily adapt to changing methodologies. The company s designs, problem-solving expertise and manufacturing has provided it with many opportunities. C.B.S. Scientific Company is one of the primary suppliers of crititcal components to some of the world leaders in automated laboratory technology and the O.E.M. manufacturer for some of the most respected scientific distributors throughout the world. C.B.S. Scientific Company continues to enjoy collaborations with scientists to develop products or help to improve existing ones. Headquartered in Solana Beach, Calif., the company is privately owned and employs nearly 50 people.",384104,Physicians & Surgeons Equip & Supls-Mfrs,339112,Surgical & Medical Instrument Manufacturing,30,"$12,182,000 ",,,
,Ceatus Media Group LLC,,,4141 Jutland Dr # 215,San Diego,CA,92117,Bay Ho,(858) 454-5505,Ceatus.Com,,,,874214,Marketing Consultants,541613,Marketing Consulting Services,35,"$3,985,000 ",,,
,Central Meat & Provision,,,1603 National Ave,San Diego,CA,92113,Barrio Logan,(619) 239-1391,Centralmeatco.Com,,,,514704,Meat-Wholesale,424470,Meat & Meat Product Merchant Wholesalers,45,"$64,128,000 ",,,
,Century Tubes Inc,,,7910 Dunbrook Rd,San Diego,CA,92126,Miramar,(858) 586-0550,Centurytubes.Com,,,,331798,Steel Pipe & Tubes (Mfrs),331210,Iron & Steel Pipe & Tube Mfg From Purchased Steel,22,"$8,814,000 ",,,
,Certified Air Conditioning,,,7912 Armour St,San Diego,CA,92111,Kearny Mesa,(858) 292-5740,Certifiedair.Net,,,"Operational since 1964, Certified Air is a family-owned and operated company that offers refrigeration, humidification, heating and cooling solutions. The company provides installation, repair, maintenance, equipment inspection, cost analysis and mechanical design services. It also offers special kitchen ventilation, duct testing and parts replacement options. In addition, Certified Air undertakes several design and build projects.",171117,Air Conditioning Contractors & Systems,238220,Plumbing Htg & Air-Conditioning Contractors,20,"$2,881,000 ",,,
,Certified Metal Craft,,,877 Vernon Way,El Cajon,CA,92020,,(619) 593-3636,Certifiedmetalcraft.Net,,,,339801,Heat Treating Metal (Mfrs),332811,Metal Heat Treating,35,"$4,012,000 ",,,
,Champagne French Bakery Cafe,,,12955 El Camino Real # G1,San Diego,CA,92130,Carmel Valley,(858) 792-2222,Delmar.Champagnebakery.Com,,,A French Bakery & Cafe with an authentic atmosphere and fantastic pastries!,581214,Cafes,722514,"Cafeterias, Grill Buffets & Buffets",24,"$1,347,000 ",,,
,Chassis Plans LLC,,,10123 Carroll Canyon Rd,San Diego,CA,92131,Scripps Ranch,(858) 571-4330,Chassis-Plans.Com,,,,357598,Computer Terminals (Mfrs),334118,Computer Terminal/Other Computer Prphrl Equip Mfg,34,"$5,503,000 ",,,
,Chassis Plans Rugged Military,,,10123 Carroll Canyon Rd,San Diego,CA,92131,Scripps Ranch,(858) 571-4330,Chassis-Plans.Com,,,"Chassis Plans is a recognized leader in manufacturing fully configured turn-key rugged industrial and military rackmount computer systems and transit case and rack system integration for the industrial computer, rugged rackmount computer, and military computer markets. We domestically manufacture rugged 1U to 6U Motherboard and Single Board Computer rackmount systems tailored exactly to customer application requirements. We also manufacture a full line of industrial and military rack mount and panel mount LCD display monitors and LCD keyboard drawers.   Chassis Plans specializes in long-life rack mount military industrial computer product support offering unmatched in-house custom rackmount computer design, long-life industrial motherboards and Single Board Computers with strict revision control and material obsolescence management for trouble free program deployment.      Markets served include field deployed rugged transit case systems for military and industrial applications, simulation systems, mobile systems for ground vehicle, ship board and airborne environments, oil and gas, and similar harsh applications. We have deployed systems into such diverse installations as battle fields to clean rooms and everything in between.     Key military customers include companies such as L3, Lockheed, and Northrop Grumman. Notable commercial customers include Siemens, Nikon, & General Electric. Chassis Plans' Systems are Engineered to Perform!(R)",999966,Federal Government Contractors,999990,Unclassified Establishments,43,$0 ,,,
,Chewys Rugulach,,,7795 Arjons Dr,San Diego,CA,92126,Miramar,(858) 271-1234,Chewys.Com,,,,514902,Bakers-Wholesale,424490,Other Grocery & Related Products Merchant Whlsrs,20,"$27,945,000 ",,,
,Cidara Therapeutics Inc,,,6310 Nancy Ridge Dr # 101,San Diego,CA,92121,Sorrento Valley,(858) 752-6170,Cidara.Com,,,,283601,Biological Products (Mfrs),325414,Biological Product (Except Diagnostic) Mfg,0,$0 ,,,
,Circ Aid Medical Products Inc,,,8333 Clairemont Mesa Blvd #205,San Diego,CA,92111,Kearny Mesa,(858) 576-3550,Lymphedema.Biz,,,,504704,Physicians & Surgeons Equip & Supls-Whls,423450,"Medical, Dental/Hospital Equip/Supls Mrchnt Whlsrs",35,"$45,682,000 ",,,
